iso_code,country,region,comp_prim_avg
AGO,Angola,Bengo,0.5377
AGO,Angola,Benguela,0.6168
AGO,Angola,Bie,0.4104
AGO,Angola,Cabinda,0.6905
AGO,Angola,Cuando Cubango,0.2633
AGO,Angola,Cuanza Norte,0.5584
AGO,Angola,Cuanza Sul,0.3376
AGO,Angola,Cunene,0.3667
AGO,Angola,Huambo,0.4886
AGO,Angola,Huila,0.4071
AGO,Angola,Luanda,0.8091
AGO,Angola,Lunda Norte,0.3388
AGO,Angola,Lunda Sul,0.4548
AGO,Angola,Malanje,0.5346
AGO,Angola,Moxico,0.4744
AGO,Angola,Namibe,0.6479
AGO,Angola,Uige,0.4475
AGO,Angola,Zaire,0.6889
BDI,Burundi,Bujumbura,0.5923
BDI,Burundi,Centre East,0.3322
BDI,Burundi,Nord,0.3003
BDI,Burundi,Ouest,0.411
BDI,Burundi,Sud,0.495
BEN,Benin,Alibori,0.2387
BEN,Benin,Atacora,0.3724
BEN,Benin,Atlantic,0.5768
BEN,Benin,Atlantique,0.6344
BEN,Benin,Borgou,0.4067
BEN,Benin,Collines,0.6431
BEN,Benin,Couffo,0.5399
BEN,Benin,Donga,0.5217
BEN,Benin,Littoral,0.7795
BEN,Benin,Mono,0.5754
BEN,Benin,Oueme,0.632
BEN,Benin,Plateau,0.5199
BEN,Benin,Zou,0.5657
BFA,Burkina Faso,Boucle De Mouhoun,0.235
BFA,Burkina Faso,Boucle du Mouhoun,0.5082
BFA,Burkina Faso,Cascades,0.4569
BFA,Burkina Faso,Centre,0.7451
BFA,Burkina Faso,Centre (Sans Ouagadougou),0.2179
BFA,Burkina Faso,Centre Est,0.2962
BFA,Burkina Faso,Centre Nord,0.1683
BFA,Burkina Faso,Centre Ouest,0.3092
BFA,Burkina Faso,Centre Sud,0.2896
BFA,Burkina Faso,Centre-Est,0.7248
BFA,Burkina Faso,Centre-Nord,0.498
BFA,Burkina Faso,Centre-Ouest,0.6776
BFA,Burkina Faso,Centre-Sud,0.881
BFA,Burkina Faso,Est,0.2316
BFA,Burkina Faso,Hauts Bassins,0.45
BFA,Burkina Faso,Nord,0.3471
BFA,Burkina Faso,Ouagadougou,0.5944
BFA,Burkina Faso,Plateau Central,0.2497
BFA,Burkina Faso,Plateau-Central,0.8143
