iso_code,country,region,edu_out_avg
AGO,Angola,Bengo,0.3201
AGO,Angola,Benguela,0.2069
AGO,Angola,Bie,0.3247
AGO,Angola,Cabinda,0.1712
AGO,Angola,Cuando Cubango,0.4733
AGO,Angola,Cuanza Norte,0.2879
AGO,Angola,Cuanza Sul,0.4276
AGO,Angola,Cunene,0.3591
AGO,Angola,Huambo,0.2486
AGO,Angola,Huila,0.2387
AGO,Angola,Luanda,0.1303
AGO,Angola,Lunda Norte,0.4296
AGO,Angola,Lunda Sul,0.2405
AGO,Angola,Malanje,0.2518
AGO,Angola,Moxico,0.3922
AGO,Angola,Namibe,0.1903
AGO,Angola,Uige,0.3158
AGO,Angola,Zaire,0.2839
BDI,Burundi,Bujumbura,0.0657
BDI,Burundi,Centre East,0.1561
BDI,Burundi,Nord,0.1911
BDI,Burundi,Ouest,0.1717
BDI,Burundi,Sud,0.115
BEN,Benin,Alibori,0.6278
BEN,Benin,Atacora,0.454
BEN,Benin,Atlantic,0.1666
BEN,Benin,Atlantique,0.1864
BEN,Benin,Borgou,0.4733
BEN,Benin,Collines,0.1949
BEN,Benin,Couffo,0.2663
BEN,Benin,Donga,0.3042
BEN,Benin,Littoral,0.092
BEN,Benin,Mono,0.1903
BEN,Benin,Oueme,0.1804
BEN,Benin,Plateau,0.2852
BEN,Benin,Zou,0.2501
BFA,Burkina Faso,Boucle De Mouhoun,0.6098
BFA,Burkina Faso,Boucle du Mouhoun,0.4966
BFA,Burkina Faso,Cascades,0.4883
BFA,Burkina Faso,Centre,0.1381
BFA,Burkina Faso,Centre (Sans Ouagadougou),0.5193
BFA,Burkina Faso,Centre Est,0.6048
BFA,Burkina Faso,Centre Nord,0.6216
BFA,Burkina Faso,Centre Ouest,0.57
BFA,Burkina Faso,Centre Sud,0.5038
BFA,Burkina Faso,Centre-Est,0.4047
BFA,Burkina Faso,Centre-Nord,0.6268
BFA,Burkina Faso,Centre-Ouest,0.5053
BFA,Burkina Faso,Centre-Sud,0.3196
BFA,Burkina Faso,Est,0.6742
BFA,Burkina Faso,Hauts Bassins,0.4527
BFA,Burkina Faso,Nord,0.5191
BFA,Burkina Faso,Ouagadougou,0.1462
BFA,Burkina Faso,Plateau Central,0.5269
BFA,Burkina Faso,Plateau-Central,0.442
BFA,Burkina Faso,Sahel,0.7675
BFA,Burkina Faso,Sud Ouest,0.6953
BFA,Burkina Faso,Sud-Ouest,0.4079
CAF,C. A. R.,Baminigui Bangoran,0.1861
CAF,C. A. R.,Bangui,0.0707
CAF,C. A. R.,Basse Kotto,0.3606
CAF,C. A. R.,Haut Mbomou,0.2839
CAF,C. A. R.,Haute Kotto,0.2321
CAF,C. A. R.,Kemo,0.2716
CAF,C. A. R.,Lobaye,0.2663
CAF,C. A. R.,Mambere Kadei,0.4099
CAF,C. A. R.,Mbomou,0.2643
CAF,C. A. R.,Nana Grebizi,0.2112
CAF,C. A. R.,Nana Mambere,0.3868
CAF,C. A. R.,Ombella M'Poko,0.2377
CAF,C. A. R.,Ouaka,0.3263
CAF,C. A. R.,Ouham,0.3813
CAF,C. A. R.,Ouham Pende,0.2194
CAF,C. A. R.,Sangha Mbaere,0.349
CAF,C. A. R.,Vakaga,0.1658
CIV,Côte d'Ivoire,Centre,0.2658
CIV,Côte d'Ivoire,Centre Est,0.2751
CIV,Côte d'Ivoire,Centre Nord,0.2608
CIV,Côte d'Ivoire,Centre Ouest,0.3026
CIV,Côte d'Ivoire,Nord,0.4657
CIV,Côte d'Ivoire,Nord Est,0.3235
CIV,Côte d'Ivoire,Nord Ouest,0.4078
CIV,Côte d'Ivoire,Ouest,0.2855
CIV,Côte d'Ivoire,Sud (Sans Ville D'Abidjan),0.193
CIV,Côte d'Ivoire,Sud Ouest,0.3309
CIV,Côte d'Ivoire,Ville D'Abidjan,0.1407
CMR,Cameroon,Adamaoua,0.2311
CMR,Cameroon,Centre,0.0293
CMR,Cameroon,Douala,0.0214
CMR,Cameroon,Est,0.1092
CMR,Cameroon,Extreme Nord,0.3836
CMR,Cameroon,Littoral,0.0158
CMR,Cameroon,Nord,0.3237
CMR,Cameroon,Nord Ouest,0.0335
CMR,Cameroon,Ouest,0.0146
CMR,Cameroon,Sud,0.0223
CMR,Cameroon,Sud Ouest,0.0305
CMR,Cameroon,Yaounde,0.016
COD,D. R. Congo,Bandundu,0.2198
COD,D. R. Congo,Bas Congo,0.1903
COD,D. R. Congo,Bas Uele,0.1101
COD,D. R. Congo,Equateur,0.2558
COD,D. R. Congo,Haut Katanga,0.2472
COD,D. R. Congo,Haut Lomami,0.1976
COD,D. R. Congo,Haut Uele,0.2586
COD,D. R. Congo,Ituri,0.3492
COD,D. R. Congo,Kasai,0.4232
COD,D. R. Congo,Kasai Central,0.2696
COD,D. R. Congo,Kasai Occidental,0.265
COD,D. R. Congo,Kasai Oriental,0.1919
COD,D. R. Congo,Katanga,0.2577
COD,D. R. Congo,Kinshasa,0.0898
COD,D. R. Congo,Kongo Central,0.181
COD,D. R. Congo,Kwango,0.3242
COD,D. R. Congo,Kwilu,0.2189
COD,D. R. Congo,Lomami,0.2018
COD,D. R. Congo,Lualaba,0.3252
COD,D. R. Congo,Maindombe,0.1974
COD,D. R. Congo,Maniema,0.1823
COD,D. R. Congo,Mongala,0.3033
COD,D. R. Congo,Nord Kivu,0.2506
COD,D. R. Congo,Nord Ubangi,0.234
COD,D. R. Congo,Province Orientale,0.2436
COD,D. R. Congo,Sankuru,0.1287
COD,D. R. Congo,Sud Kivu,0.2248
COD,D. R. Congo,Sud Ubangi,0.2534
COD,D. R. Congo,Tanganyika,0.3754
COD,D. R. Congo,Tshopo,0.156
COD,D. R. Congo,Tshuapa,0.3885
COG,Congo,Bouenza,0.0378
COG,Congo,Brazzaville,0.0281
COG,Congo,Cuvette,0.0397
COG,Congo,Cuvette Ouest,0.0609
COG,Congo,Kouilou,0.0869
COG,Congo,Lekoumou,0.0977
COG,Congo,Likouala,0.0706
COG,Congo,Niari,0.0444
COG,Congo,Nord,0.1069
COG,Congo,Plateaux,0.0482
COG,Congo,Pointe Noire,0.0267
COG,Congo,Pool,0.0463
COG,Congo,Sangha,0.1178
COG,Congo,Sud,0.0902
COM,Comoros,Moheli,0.1536
COM,Comoros,Ndzouani,0.2126
