continent,year,value
Africa,2000,1122.89939131425
Africa,2001,1090.11391974465
Africa,2002,1084.6487870927015
Africa,2003,1291.9713174535
Africa,2004,1550.5149615736923
Africa,2005,1810.1005871478917
Africa,2006,2013.1906064302634
Africa,2007,2258.8520362374607
Africa,2008,2583.281555440551
Africa,2009,2251.7987768877056
Africa,2010,2515.7647563942687
Africa,2011,2754.5685752770582
Africa,2012,2922.231080675814
Africa,2013,2952.259449460763
Africa,2014,2908.3082955629347
Africa,2015,2476.937515239865
Africa,2016,2436.461543041001
Africa,2017,2655.3268457613617
Africa,2018,2796.687684798844
Africa,2019,2748.047455433735
Africa,2020,2383.538378191205
Africa,2021,2628.925870970724
Africa,2022,2790.5633624707657
Africa,2023,2796.5996070295605
Africa,2024,2876.713934383802
Asia,2000,7026.09617658253
Asia,2001,6614.531052898207
Asia,2002,6685.2335391076085
Asia,2003,7268.573234567637
Asia,2004,8339.80096597987
Asia,2005,9568.59419124388
Asia,2006,10723.87957333555
Asia,2007,11703.81220849085
Asia,2008,13379.824585646065
Asia,2009,11548.368764791387
Asia,2010,13494.190357081427
Asia,2011,16074.39780164011
Asia,2012,16761.894323719876
Asia,2013,16798.13125704219
Asia,2014,16545.28611999017
Asia,2015,14217.522964185222
Asia,2016,14015.871403901063
Asia,2017,14844.651284768826
Asia,2018,16007.029388333573
Asia,2019,16240.037485900531
Asia,2020,13625.554376736865
Asia,2021,16124.521180927833
Asia,2022,17320.264383798476
Asia,2023,17822.369352610425
Asia,2024,19375.213095203853
Europe,2000,16283.083307053355
Europe,2001,16482.776349059353
Europe,2002,18090.257311008947
Europe,2003,22002.482427426887
Europe,2004,25339.548232078138
Europe,2005,26954.23912080113
Europe,2006,29229.080366458817
Europe,2007,34497.75506411376
Europe,2008,37958.0171167305
Europe,2009,33189.435507477414
Europe,2010,33577.065598250854
Europe,2011,36877.05937515161
Europe,2012,34891.28205240644
Europe,2013,37124.63856088703
Europe,2014,38218.34244295393
Europe,2015,33677.854241604386
Europe,2016,34065.24429229448
Europe,2017,35803.935957268804
Europe,2018,38476.44246310021
Europe,2019,37813.25076719591
Europe,2020,36691.70074050204
Europe,2021,43118.46479208865
Europe,2022,42858.775336506034
Europe,2023,45217.032858346545
Europe,2024,43854.4354724308
North America,2000,11000.009524324516
North America,2001,11558.243022651835
North America,2002,12535.463569614923
North America,2003,13284.839334795195
North America,2004,14336.167746787576
North America,2005,15579.313611352254
North America,2006,19489.239637399198
North America,2007,20904.99428261281
North America,2008,21661.667700519924
North America,2009,20370.60778107912
North America,2010,20794.86120381796
North America,2011,21344.80539816331
North America,2012,21599.267686934618
North America,2013,21822.69334552262
North America,2014,22400.13616436414
North America,2015,22521.52748976317
North America,2016,22941.664806542856
North America,2017,23495.716570857647
North America,2018,24212.947806826112
North America,2019,24672.941567122554
North America,2020,22392.405460284084
North America,2021,24966.104158002265
North America,2022,27435.689363029167
North America,2023,28662.10887299485
North America,2024,26457.340679893714
Oceania,2000,5719.291904792423
Oceania,2001,5489.830957377577
Oceania,2002,7585.300421636612
Oceania,2003,8605.478401495944
Oceania,2004,9706.392910599247
Oceania,2005,10231.910667579017
Oceania,2006,10490.265678666265
Oceania,2007,11690.808016903326
Oceania,2008,12541.68342858195
Oceania,2009,11795.745454808208
Oceania,2010,12699.75708678695
Oceania,2011,13947.719969444845
Oceania,2012,14550.995379668499
Oceania,2013,14901.316163833118
Oceania,2014,15034.097443472143
Oceania,2015,14075.09519885155
Oceania,2016,14378.103422939572
Oceania,2017,15386.78240116171
Oceania,2018,15746.364087987327
Oceania,2019,15530.088529942328
Oceania,2020,14664.672735873211
Oceania,2021,16178.533942211447
Oceania,2022,16813.649057069757
Oceania,2023,15124.939767049844
Oceania,2024,16417.078957277103
South America,2000,3311.2588102591403
South America,2001,3132.704920458034
South America,2002,2463.583337239098
South America,2003,2555.748334447202
South America,2004,3077.2256489677166
South America,2005,3724.39593881847
South America,2006,4650.53216807292
South America,2007,5502.493253541794
South America,2008,6651.577778174241
South America,2009,6575.246351555154
South America,2010,7981.706800179618
South America,2011,8833.214134593856
South America,2012,9362.970491163767
South America,2013,9428.228031422605
South America,2014,9165.931055708073
South America,2015,8255.379344549072
South America,2016,7857.220774128032
South America,2017,8695.564636215004
South America,2018,8555.362406547249
South America,2019,8091.2341043691
South America,2020,6950.198947529935
South America,2021,8232.724891963942
South America,2022,9799.372904050986
South America,2023,10544.994298293854
South America,2024,11652.90913991139
