iso3,country,continent,year_2000,year_2023,delta
AFG,Afghanistan,Asia,55.0047,66.0346,11.029899999999998
ALB,Albania,Europe,74.8262,79.6019,4.7757000000000005
DZA,Algeria,Africa,70.5759,76.261,5.685099999999991
ASM,American Samoa,Oceania,71.4429,72.8518,1.4089000000000027
AND,Andorra,Europe,81.8633,84.0406,2.1773000000000025
AGO,Angola,Africa,46.5005,64.617,18.116500000000002
AIA,Anguilla,North America,75.1471,79.3115,4.1644000000000005
ATG,Antigua and Barbuda,North America,74.8191,77.5976,2.778499999999994
ARG,Argentina,South America,73.91,77.3947,3.4847000000000037
ARM,Armenia,Europe,70.8123,75.6827,4.870400000000004
ABW,Aruba,North America,72.9393,76.353,3.4136999999999915
AUS,Australia,Oceania,79.6207,83.9228,4.302099999999996
AUT,Austria,Europe,78.235,81.9559,3.7209000000000003
AZE,Azerbaijan,Europe,65.3772,74.4286,9.051400000000001
BHS,Bahamas,North America,72.4812,74.5518,2.070599999999999
BHR,Bahrain,Asia,74.6726,81.2835,6.610900000000001
BGD,Bangladesh,Asia,62.0487,74.6723,12.62360000000001
BRB,Barbados,North America,74.5803,76.1782,1.5979000000000099
BLR,Belarus,Europe,68.4637,74.4339,5.970199999999991
BEL,Belgium,Europe,77.7684,82.115,4.346599999999995
BLZ,Belize,North America,68.9108,73.5656,4.654800000000009
BEN,Benin,Africa,56.5945,60.7738,4.179300000000005
BMU,Bermuda,North America,78.2508,82.3089,4.058099999999996
BTN,Bhutan,Asia,61.8417,72.9753,11.133600000000001
BOL,Bolivia,South America,62.0572,68.5814,6.5242
BES,Bonaire Sint Eustatius and Saba,North America,76.088,77.4355,1.3475000000000108
BIH,Bosnia and Herzegovina,Europe,75.292,77.8504,2.558399999999992
BWA,Botswana,Africa,52.2631,69.1631,16.9
BRA,Brazil,South America,69.5842,75.8482,6.26400000000001
VGB,British Virgin Islands,North America,74.753,77.2758,2.5228000000000037
BRN,Brunei,Asia,74.0169,75.3266,1.3096999999999923
BGR,Bulgaria,Europe,71.5746,75.6363,4.061700000000002
BFA,Burkina Faso,Africa,50.8081,61.092,10.283899999999996
BDI,Burundi,Africa,47.6166,63.6511,16.0345
KHM,Cambodia,Asia,59.4914,70.6675,11.176100000000005
CMR,Cameroon,Africa,53.3376,63.6996,10.361999999999995
CAN,Canada,North America,79.233,82.6302,3.397199999999998
CPV,Cape Verde,Africa,68.1167,76.0587,7.942000000000007
CYM,Cayman Islands,North America,74.3779,80.3576,5.979700000000008
CAF,Central African Republic,Africa,46.6095,57.4077,10.798200000000001
TCD,Chad,Africa,47.937,55.0692,7.1322000000000045
CHL,Chile,South America,77.1276,81.1667,4.039100000000005
CHN,China,Asia,72.2885,77.9529,5.6644000000000005
COL,Colombia,South America,70.905,77.7246,6.819599999999994
COM,Comoros,Africa,58.9407,66.7768,7.836099999999995
COG,Congo,Africa,55.3706,65.772,10.401400000000002
COK,Cook Islands,Oceania,69.8493,75.2818,5.4325000000000045
CRI,Costa Rica,North America,77.3175,80.7995,3.4819999999999993
CIV,Cote d'Ivoire,Africa,51.3927,61.9438,10.551100000000005
HRV,Croatia,Europe,74.0014,78.5803,4.57889999999999
CUB,Cuba,North America,75.9224,78.0855,2.1631
CUW,Curacao,North America,73.2829,76.7996,3.5167
CYP,Cyprus,Europe,77.9,81.648,3.7479999999999905
CZE,Czechia,Europe,74.9781,79.8341,4.856000000000009
COD,Democratic Republic of Congo,Africa,51.8871,61.895,10.007900000000006
DNK,Denmark,Europe,76.8152,81.9328,5.117599999999996
DJI,Djibouti,Africa,56.7341,65.9865,9.252400000000009
DMA,Dominica,North America,71.7154,71.1325,-0.5829000000000093
DOM,Dominican Republic,North America,70.3647,73.7201,3.355400000000003
TLS,East Timor,Asia,58.0969,67.6894,9.592500000000008
ECU,Ecuador,South America,72.0896,77.3924,5.302799999999991
EGY,Egypt,Africa,67.3323,71.6335,4.301199999999994
SLV,El Salvador,North America,67.7114,72.0993,4.387900000000002
GNQ,Equatorial Guinea,Africa,53.3952,63.7071,10.311899999999994
ERI,Eritrea,Africa,56.2852,68.6239,12.338700000000003
EST,Estonia,Europe,71.0142,79.1535,8.139299999999992
SWZ,Eswatini,Africa,47.6273,64.1227,16.495399999999997
ETH,Ethiopia,Africa,50.8802,67.315,16.434799999999996
FLK,Falkland Islands,South America,71.1332,79.2132,8.079999999999998
FRO,Faroe Islands,Europe,78.2507,80.1792,1.9284999999999997
FJI,Fiji,Oceania,66.1937,67.3157,1.1219999999999999
FIN,Finland,Europe,77.6713,81.9102,4.238900000000001
FRA,France,Europe,79.0438,83.3253,4.281499999999994
GUF,French Guiana,South America,72.9651,76.9781,4.012999999999991
PYF,French Polynesia,Oceania,79.0001,84.0698,5.069699999999997
GAB,Gabon,Africa,61.8098,68.3367,6.526899999999991
GMB,Gambia,Africa,56.8994,65.8603,8.960899999999995
GEO,Georgia,Europe,70.0909,74.4965,4.405599999999993
DEU,Germany,Europe,78.0563,81.3777,3.3214000000000112
GHA,Ghana,Africa,58.1392,65.4979,7.358699999999999
GIB,Gibraltar,Europe,80.1446,83.553,3.4084000000000003
GRC,Greece,Europe,78.442,81.8568,3.414800000000014
GRL,Greenland,North America,65.6313,70.055,4.423700000000011
GRD,Grenada,North America,72.9547,75.2052,2.2505000000000024
GLP,Guadeloupe,North America,77.08,82.0503,4.970299999999995
GUM,Guam,Oceania,74.894,77.2093,2.3152999999999935
GTM,Guatemala,North America,67.1018,72.6023,5.500500000000002
GGY,Guernsey,Europe,79.3867,83.2744,3.8876999999999953
GIN,Guinea,Africa,52.4197,60.7405,8.320799999999998
GNB,Guinea-Bissau,Africa,50.5646,64.0849,13.520300000000006
GUY,Guyana,South America,64.0748,70.1802,6.105400000000003
HTI,Haiti,North America,58.1749,64.9356,6.760699999999993
HND,Honduras,North America,68.3018,72.8842,4.582400000000007
HKG,Hong Kong,Asia,80.7045,85.5106,4.806100000000001
HUN,Hungary,Europe,71.7581,77.024,5.265900000000002
ISL,Iceland,Europe,79.5485,82.6911,3.1426000000000016
IND,India,Asia,62.7492,72.0026,9.2534
IDN,Indonesia,Asia,66.2919,71.1457,4.853800000000007
IRN,Iran,Asia,70.1665,77.6545,7.4879999999999995
IRQ,Iraq,Asia,64.8603,72.3242,7.4639000000000095
IRL,Ireland,Europe,76.535,82.4118,5.876800000000003
IMN,Isle of Man,Europe,74.8419,80.999,6.1571
ISR,Israel,Asia,79.1797,82.408,3.2283000000000044
ITA,Italy,Europe,79.607,83.7157,4.108699999999999
JAM,Jamaica,North America,71.2814,71.4789,0.1974999999999909
JPN,Japan,Asia,81.1788,84.7123,3.5335000000000036
JEY,Jersey,Europe,78.4235,79.7071,1.2835999999999927
JOR,Jordan,Asia,71.9258,77.8145,5.8887
KAZ,Kazakhstan,Europe,63.793,74.4021,10.609100000000005
KEN,Kenya,Africa,56.0836,63.6459,7.5623000000000005
KIR,Kiribati,Oceania,64.6739,66.4731,1.799199999999999
KWT,Kuwait,Asia,75.8728,80.4047,4.531900000000007
KGZ,Kyrgyzstan,Asia,65.2419,71.677,6.435100000000006
LAO,Laos,Asia,58.3168,68.9637,10.646900000000002
LVA,Latvia,Europe,70.1755,76.1898,6.014300000000006
LBN,Lebanon,Asia,73.8949,77.817,3.922099999999986
LSO,Lesotho,Africa,48.7828,57.3749,8.592099999999995
LBR,Liberia,Africa,51.8517,62.1625,10.3108
LBY,Libya,Africa,70.5421,69.3389,-1.2032000000000096
LIE,Liechtenstein,Europe,78.5757,83.6298,5.054100000000005
LTU,Lithuania,Europe,72.1387,76.025,3.8863000000000056
LUX,Luxembourg,Europe,77.2635,82.2294,4.965900000000005
MAC,Macao,Asia,79.4292,83.0749,3.645700000000005
MDG,Madagascar,Africa,57.9742,63.6317,5.657499999999999
MWI,Malawi,Africa,46.1698,67.3535,21.183699999999995
MYS,Malaysia,Asia,72.7324,76.6571,3.9247000000000014
MDV,Maldives,Asia,70.8919,81.0412,10.149299999999997
MLI,Mali,Africa,50.6046,60.4394,9.834800000000001
MLT,Malta,Europe,77.9031,83.2989,5.395800000000008
MHL,Marshall Islands,Oceania,63.3233,66.9454,3.622100000000003
MTQ,Martinique,North America,78.4973,82.5651,4.067800000000005
MRT,Mauritania,Africa,61.0435,68.4836,7.440099999999994
MUS,Mauritius,Africa,71.7597,74.9263,3.1666000000000025
MYT,Mayotte,Africa,76.3612,76.0544,-0.3067999999999955
MEX,Mexico,North America,72.5621,75.069,2.5069000000000017
FSM,Micronesia (country),Oceania,64.3173,67.1983,2.8810000000000002
MDA,Moldova,Europe,67.4623,71.1985,3.7361999999999966
MCO,Monaco,Europe,82.1207,86.3724,4.2517
