iso3,country,continent,year,total,female,male
AFG,Afghanistan,Asia,2024,37.7,,
AGO,Angola,Africa,2024,20.0,,
ALB,Albania,Europe,2024,88.2,,
ARG,Argentina,South America,2024,65.7,,
ARM,Armenia,Asia,2024,90.3,,
AUS,Australia,Oceania,2024,88.6,,
AUT,Austria,Europe,2024,85.9,,
AZE,Azerbaijan,Asia,2024,77.6,,
BDI,Burundi,Africa,2024,9.8,,
BEL,Belgium,Europe,2024,86.0,,
BEN,Benin,Africa,2024,20.6,,
BFA,Burkina Faso,Africa,2024,15.5,,
BGD,Bangladesh,Asia,2024,39.3,,
BGR,Bulgaria,Europe,2024,87.0,,
BIH,Bosnia and Herzegovina,Europe,2024,65.5,,
BLR,Belarus,Europe,2024,92.9,,
BLZ,Belize,North America,2024,16.7,,
BOL,Bolivia,South America,2024,75.8,,
BRA,Brazil,South America,2024,71.3,,
BRB,Barbados,North America,2024,95.4,,
BTN,Bhutan,Asia,2024,74.5,,
BWA,Botswana,Africa,2024,63.9,,
CAF,Central African Republic,Africa,2024,9.1,,
CAN,Canada,North America,2024,88.0,,
CHE,Switzerland,Europe,2024,92.7,,
CHL,Chile,South America,2024,84.6,,
CHN,China,Asia,2024,88.1,,
CIV,Cote d'Ivoire,Africa,2024,16.3,,
CMR,Cameroon,Africa,2024,21.1,,
COD,Democratic Republic of Congo,Africa,2024,22.5,,
COG,Congo,Africa,2024,31.1,,
COL,Colombia,South America,2024,66.7,,
COM,Comoros,Africa,2024,34.6,,
CRI,Costa Rica,North America,2024,55.9,,
CUB,Cuba,North America,2024,71.9,,
CYP,Cyprus,Asia,2024,92.9,,
CZE,Czechia,Europe,2024,90.1,,
DEU,Germany,Europe,2024,81.9,,
DJI,Djibouti,Africa,2024,33.7,,
DNK,Denmark,Europe,2024,76.2,,
DOM,Dominican Republic,North America,2024,60.6,,
DZA,Algeria,Africa,2024,49.4,,
ECU,Ecuador,South America,2024,76.0,,
EGY,Egypt,Africa,2024,87.6,,
ESP,Spain,Europe,2024,74.3,,
EST,Estonia,Europe,2024,85.2,,
ETH,Ethiopia,Africa,2024,15.2,,
FIN,Finland,Europe,2024,89.7,,
FJI,Fiji,Oceania,2024,93.4,,
FRA,France,Europe,2024,87.4,,
GAB,Gabon,Africa,2024,22.4,,
GBR,United Kingdom,Europe,2024,90.0,,
GEO,Georgia,Asia,2024,92.5,,
GHA,Ghana,Africa,2024,45.2,,
GIN,Guinea,Africa,2024,24.9,,
GMB,Gambia,Africa,2024,33.1,,
GNB,Guinea-Bissau,Africa,2024,11.3,,
GNQ,Equatorial Guinea,Africa,2024,8.2,,
GRC,Greece,Europe,2024,94.9,,
GTM,Guatemala,North America,2024,39.8,,
GUY,Guyana,South America,2024,70.1,,
HND,Honduras,North America,2024,51.7,,
HRV,Croatia,Europe,2024,98.1,,
HTI,Haiti,North America,2024,19.5,,
HUN,Hungary,Europe,2024,86.1,,
IDN,Indonesia,Asia,2024,40.0,,
IND,India,Asia,2024,63.9,,
IRL,Ireland,Europe,2024,94.7,,
IRN,Iran,Asia,2024,74.3,,
IRQ,Iraq,Asia,2024,52.2,,
ISL,Iceland,Europe,2024,66.1,,
ISR,Israel,Asia,2024,92.9,,
ITA,Italy,Europe,2024,87.0,,
JAM,Jamaica,North America,2024,95.5,,
JOR,Jordan,Asia,2024,67.6,,
KAZ,Kazakhstan,Asia,2024,99.0,,
KEN,Kenya,Africa,2024,37.4,,
KGZ,Kyrgyzstan,Asia,2024,93.1,,
KHM,Cambodia,Asia,2024,24.7,,
KIR,Kiribati,Oceania,2024,20.8,,
KOR,South Korea,Asia,2024,99.3,,
LAO,Laos,Asia,2024,31.8,,
LBR,Liberia,Africa,2024,13.9,,
LCA,Saint Lucia,North America,2024,92.8,,
LSO,Lesotho,Africa,2024,24.0,,
LTU,Lithuania,Europe,2024,91.7,,
LUX,Luxembourg,Europe,2024,81.0,,
LVA,Latvia,Europe,2024,86.9,,
MAR,Morocco,Africa,2024,26.5,,
MDA,Moldova,Europe,2024,81.0,,
MDG,Madagascar,Africa,2024,14.1,,
MDV,Maldives,Asia,2024,39.4,,
MEX,Mexico,North America,2024,58.7,,
MKD,North Macedonia,Europe,2024,85.1,,
MLI,Mali,Africa,2024,12.1,,
MLT,Malta,Europe,2024,82.6,,
MMR,Myanmar,Asia,2024,23.8,,
MNE,Montenegro,Europe,2024,88.8,,
MNG,Mongolia,Asia,2024,92.2,,
MOZ,Mozambique,Africa,2024,8.3,,
MRT,Mauritania,Africa,2024,23.3,,
MUS,Mauritius,Africa,2024,60.4,,
MWI,Malawi,Africa,2024,15.7,,
MYS,Malaysia,Asia,2024,62.3,,
NAM,Namibia,Africa,2024,36.5,,
NER,Niger,Africa,2024,4.9,,
NGA,Nigeria,Africa,2024,64.0,,
NIC,Nicaragua,North America,2024,38.3,,
NLD,Netherlands,Europe,2024,79.2,,
