iso3,country,continent,year,income,child_labor_pct,pop_5_17
AFG,Afghanistan,Asia,2023,413.757894705303,13.3,14071261.5
DZA,Algeria,Africa,2019,4468.45341883656,1.9,9982557.6
AGO,Angola,Africa,2016,2051.81462126253,9.7,9669888.6
ARG,Argentina,South America,2017,14532.5009308511,1.8,9263053.6
ARM,Armenia,Europe,2015,3512.39350276709,3.9,481305.3
AZE,Azerbaijan,Europe,2023,7133.02838048328,4.8,2069948.1999999997
BGD,Bangladesh,Asia,2022,2716.48592780431,7.0,42723037.9
BLR,Belarus,Europe,2019,6837.77339645635,4.0,1328922.7000000002
BLZ,Belize,North America,2013,5957.34953619006,2.2,99133.4
BEN,Benin,Africa,2022,1266.42711031904,16.0,4512553.7
BRA,Brazil,South America,2022,9281.33282136864,1.5,38024814.8
BFA,Burkina Faso,Africa,2022,827.330843486661,18.4,7813621.3
BDI,Burundi,Africa,2020,255.8324539389,53.5,4563317.9
KHM,Cambodia,Asia,2021,2167.40324198499,10.4,4322714.6
CMR,Cameroon,Africa,2014,1649.4433905949,33.4,7279333.100000001
CAF,Central African Republic,Africa,2019,449.228467602439,18.4,1881982.2999999998
TCD,Chad,Africa,2019,893.336441643325,30.9,5913406.9
CHL,Chile,South America,2023,17067.0364799154,4.1,3162835.1999999997
COL,Colombia,South America,2022,6680.44506854481,1.3,9751617.5
COM,Comoros,Africa,2022,1465.479642862,5.8,252024.3
COG,Republic of the Congo,Africa,2015,2439.35189403696,10.8,1582645.9999999998
CRI,Costa Rica,North America,2018,12590.2493781614,3.4,949985.9
CIV,Ivory Coast,Africa,2022,2333.37128301259,12.8,9967812.799999999
COD,Democratic Republic of the Congo,Africa,2020,486.425572682256,14.7,32503025.8
DOM,Dominican Republic,North America,2019,8183.01623600375,3.1,2615017.9
ECU,Ecuador,South America,2022,6515.58528418336,3.4,4058234.1999999997
EGY,Egypt,Africa,2023,3456.78968456253,8.5,31657310.1
SLV,El Salvador,North America,2023,5365.44491399171,2.9,1432217.2
SWZ,Eswatini,Africa,2022,3894.1620089869,11.3,348068.4
ETH,Ethiopia,Africa,2021,893.00983544905,18.7,39053100.3
FJI,Fiji,Oceania,2021,4536.73312110335,15.6,218628.90000000002
GAB,Gabon,Africa,2021,8181.40914134656,5.4,678612.2
GMB,Gambia,Africa,2023,883.024111719809,15.1,892562.5
GEO,Georgia,Europe,2015,4086.6223465965,1.5,588682.7999999999
GHA,Ghana,Africa,2022,2229.89122647803,5.5,9932814.5
GIN,Guinea,Africa,2016,711.996509782316,19.5,4043640.9
GNB,Guinea-Bissau,Africa,2022,883.199131457831,30.4,678354.0999999999
GUY,Guyana,South America,2020,6775.70939096303,4.9,198778.80000000002
HND,Honduras,North America,2023,3227.45762509776,12.9,2799348.1
IND,India,Asia,2023,2530.12031278204,1.0,322622443.6
IDN,Indonesia,Asia,2021,4287.17313995098,1.7,61592108.0
IRQ,Iraq,Asia,2018,5646.68932074742,3.1,12692891.3
JAM,Jamaica,North America,2022,6626.47502388538,2.6,528122.4
JOR,Jordan,Asia,2016,3986.71677010853,1.2,2830986.1
KEN,Kenya,Africa,2021,2061.35622089594,4.3,17238074.999999996
KIR,Kiribati,Oceania,2019,1750.9977188915,7.1,34427.8
KGZ,Kyrgyzstan,Asia,2023,2138.22210211478,18.0,1874170.1999999997
LAO,Laos,Asia,2023,2066.94979776957,21.8,1985440.2
LSO,Lesotho,Africa,2018,1170.65569702819,8.2,644084.4999999999
LBR,Liberia,Africa,2020,616.787867006715,21.1,1715156.6
MDG,Madagascar,Africa,2022,503.51453347296,24.7,9579804.899999999
MWI,Malawi,Africa,2020,602.507478176106,24.1,6814473.2
MLI,Mali,Africa,2020,953.242943290974,21.0,7766948.4
MRT,Mauritania,Africa,2019,1767.072710621,3.1,1503432.5
MEX,Mexico,North America,2022,11405.7940473759,4.3,28892790.8
MNG,Mongolia,Asia,2023,5838.63108083902,6.0,917227.4
MNE,Montenegro,Europe,2018,8673.59128084795,7.7,99566.30000000002
MOZ,Mozambique,Africa,2022,578.251663751351,10.9,11248050.500000002
MMR,Myanmar,Asia,2015,1166.73305547935,8.1,11836029.7
NRU,Nauru,Oceania,2023,12752.4723855838,0.7,3731.0
NPL,Nepal,Asia,2014,821.455224911731,19.2,8365440.1
NER,Niger,Africa,2022,609.745147574878,42.4,9118454.0
NGA,Nigeria,Africa,2022,2899.16047470324,28.1,75034361.39999999
MKD,North Macedonia,Europe,2019,6718.85826635458,2.4,287912.79999999993
PSE,Palestine,Asia,2020,3233.56863835858,6.3,1576068.4000000001
PER,Peru,South America,2021,6826.20255614477,16.2,7333565.399999999
PHL,Philippines,Asia,2022,3548.06930572116,1.2,29947074.6
WSM,Samoa,Oceania,2022,4132.44717734444,6.9,66867.79999999999
STP,São Tomé and Príncipe,Africa,2019,1935.2931816596,6.7,70509.4
SEN,Senegal,Africa,2022,1574.0281059306,8.6,5660533.3
SRB,Serbia,Europe,2019,7755.632986437,9.1,879526.1000000001
SLE,Sierra Leone,Africa,2017,779.186007841728,21.0,2419884.8
LKA,Sri Lanka,Asia,2016,4149.19190775593,0.8,4614743.3
SDN,Sudan,Africa,2022,1046.24084472656,15.0,15835038.2
SUR,Suriname,South America,2018,6665.74180472239,3.4,143923.9
TZA,Tanzania,Africa,2021,1159.85656738281,15.0,20875146.8
TGO,Togo,Africa,2022,951.232378690387,25.7,2893397.9
TON,Tonga,Oceania,2019,4788.83342304684,25.9,32225.299999999996
TTO,Trinidad and Tobago,North America,2022,20750.5202434652,4.2,243815.4
TUN,Tunisia,Africa,2023,3951.11683376921,1.7,2593908.7
TUR,Turkey,Europe,2022,10897.8397861365,5.6,17134722.8
TKM,Turkmenistan,Asia,2016,5686.98040962764,0.3,1475894.2999999998
TCA,Turks and Caicos Islands,North America,2020,20690.9160546118,4.1,6350.0
TUV,Tuvalu,Oceania,2020,4976.11254109571,3.7,2690.9
UGA,Uganda,Africa,2021,882.791717542504,40.1,16183163.2
URY,Uruguay,South America,2010,12641.0576849008,3.7,660364.5
UZB,Uzbekistan,Asia,2022,2578.66689394219,17.8,8089694.899999999
VUT,Vanuatu,Oceania,2023,3482.61458237637,26.7,97940.6
VNM,Vietnam,Asia,2021,3704.1935590038,5.7,20510127.2
ZMB,Zambia,Africa,2022,1447.12310138035,5.7,6797635.199999999
ZWE,Zimbabwe,Africa,2019,2184.32923855469,25.6,5275422.6
