iso3,country,continent,region,year,married_before_18,married_before_15,children_before_18
AFG,Afghanistan,Asia,Central and Southern Asia,2023,28.7,,
AGO,Angola,Africa,Sub-Saharan Africa,2016,30.3,,
ALB,Albania,Europe,Europe and Northern America,2018,11.8,,
ARG,Argentina,South America,Latin America and the Caribbean,2020,15.5,,
ARM,Armenia,Asia,Central and Southern Asia,2016,5.3,,
AZE,Azerbaijan,Asia,Central and Southern Asia,2011,11.0,,
BDI,Burundi,Africa,Sub-Saharan Africa,2017,19.0,,
BEL,Belgium,Europe,Europe and Northern America,2020,0.1,,
BEN,Benin,Africa,Sub-Saharan Africa,2022,27.5,,
BFA,Burkina Faso,Africa,Sub-Saharan Africa,2021,38.2,,
BGD,Bangladesh,Asia,Central and Southern Asia,2019,51.4,,
BIH,Bosnia and Herzegovina,Europe,Europe and Northern America,2012,3.5,,
BLR,Belarus,Europe,Europe and Northern America,2019,4.7,,
BLZ,Belize,North America,Europe and Northern America,2016,33.5,,
BOL,Bolivia,South America,Latin America and the Caribbean,2016,19.7,,
BRA,Brazil,South America,Latin America and the Caribbean,2006,26.2,,
BRB,Barbados,North America,Europe and Northern America,2012,29.2,,
BTN,Bhutan,Asia,Central and Southern Asia,2010,25.8,,
BWA,Botswana,Africa,Sub-Saharan Africa,1988,10.0,,
CAF,Central African Republic,Africa,Sub-Saharan Africa,2019,61.0,,
CHN,China,Asia,Central and Southern Asia,2020,2.8,,
CIV,Cote d'Ivoire,Africa,Sub-Saharan Africa,2021,25.8,,
CMR,Cameroon,Africa,Sub-Saharan Africa,2018,29.8,,
COD,Democratic Republic of Congo,Africa,Sub-Saharan Africa,2018,29.1,,
COG,Congo,Africa,Sub-Saharan Africa,2015,27.3,,
COL,Colombia,South America,Latin America and the Caribbean,2015,23.4,,
COM,Comoros,Africa,Sub-Saharan Africa,2022,20.7,,
CPV,Cape Verde,Africa,Sub-Saharan Africa,2018,8.4,,
CRI,Costa Rica,North America,Europe and Northern America,2018,17.1,,
CUB,Cuba,North America,Europe and Northern America,2019,29.4,,
DJI,Djibouti,Africa,Sub-Saharan Africa,2019,6.5,,
DNK,Denmark,Europe,Europe and Northern America,2021,0.7,,
DOM,Dominican Republic,North America,Europe and Northern America,2019,31.5,,
DZA,Algeria,Africa,Sub-Saharan Africa,2019,3.8,,
ECU,Ecuador,South America,Latin America and the Caribbean,2018,22.2,,
EGY,Egypt,Africa,Sub-Saharan Africa,2021,15.8,,
ERI,Eritrea,Africa,Sub-Saharan Africa,2010,40.7,,
ETH,Ethiopia,Africa,Sub-Saharan Africa,2016,40.3,,
FIN,Finland,Europe,Europe and Northern America,2017,0.1,,
FJI,Fiji,Oceania,Oceania,2021,4.0,,
GAB,Gabon,Africa,Sub-Saharan Africa,2021,13.3,,
GBR,United Kingdom,Europe,Europe and Northern America,2021,0.0,,
GEO,Georgia,Asia,Central and Southern Asia,2018,13.9,,
GHA,Ghana,Africa,Sub-Saharan Africa,2022,16.1,,
GIN,Guinea,Africa,Sub-Saharan Africa,2018,46.5,,
GMB,Gambia,Africa,Sub-Saharan Africa,2020,23.1,,
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,2019,25.7,,
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,2011,29.5,,
GTM,Guatemala,North America,Europe and Northern America,2015,29.5,,
GUY,Guyana,South America,Latin America and the Caribbean,2020,32.3,,
HND,Honduras,North America,Europe and Northern America,2019,34.0,,
HTI,Haiti,North America,Europe and Northern America,2017,14.9,,
IDN,Indonesia,Asia,Central and Southern Asia,2017,16.3,,
IND,India,Asia,Central and Southern Asia,2021,22.3,,
IRN,Iran,Asia,Central and Southern Asia,2010,16.7,,
IRQ,Iraq,Asia,Central and Southern Asia,2018,27.9,,
JAM,Jamaica,North America,Europe and Northern America,2011,7.9,,
JOR,Jordan,Asia,Central and Southern Asia,2018,9.7,,
KAZ,Kazakhstan,Asia,Central and Southern Asia,2015,7.0,,
KEN,Kenya,Africa,Sub-Saharan Africa,2022,12.5,,
KGZ,Kyrgyzstan,Asia,Central and Southern Asia,2018,12.9,,
KHM,Cambodia,Asia,Central and Southern Asia,2022,17.9,,
KIR,Kiribati,Oceania,Oceania,2019,18.4,,
LAO,Laos,Asia,Central and Southern Asia,2017,32.7,,
LBN,Lebanon,Asia,Central and Southern Asia,2016,6.0,,
LBR,Liberia,Africa,Sub-Saharan Africa,2020,24.9,,
LCA,Saint Lucia,North America,Europe and Northern America,2012,24.0,,
LKA,Sri Lanka,Asia,Central and Southern Asia,2016,9.8,,
LSO,Lesotho,Africa,Sub-Saharan Africa,2018,16.4,,
LTU,Lithuania,Europe,Europe and Northern America,2022,0.2,,
MAR,Morocco,Africa,Sub-Saharan Africa,2018,13.7,,
MDA,Moldova,Europe,Europe and Northern America,2012,12.2,,
MDG,Madagascar,Africa,Sub-Saharan Africa,2021,38.8,,
MDV,Maldives,Asia,Central and Southern Asia,2017,2.2,,
MEX,Mexico,North America,Europe and Northern America,2018,20.7,,
MHL,Marshall Islands,Oceania,Oceania,2007,26.3,,
MKD,North Macedonia,Europe,Europe and Northern America,2019,7.5,,
MLI,Mali,Africa,Sub-Saharan Africa,2018,53.7,,
MMR,Myanmar,Asia,Central and Southern Asia,2016,16.0,,
MNE,Montenegro,Europe,Europe and Northern America,2018,5.8,,
MNG,Mongolia,Asia,Central and Southern Asia,2018,12.0,,
