iso3,country,region,year,married_before_18
AFG,Afghanistan,Central and Southern Asia,2015,34.8
AFG,Afghanistan,Central and Southern Asia,2023,28.7
ALB,Albania,Europe and Northern America,2009,9.6
ALB,Albania,Europe and Northern America,2018,11.8
DZA,Algeria,Sub-Saharan Africa,2019,3.8
AGO,Angola,Sub-Saharan Africa,2016,30.3
ARG,Argentina,Latin America and the Caribbean,2020,15.5
ARM,Armenia,Central and Southern Asia,2000,19.1
ARM,Armenia,Central and Southern Asia,2005,9.9
ARM,Armenia,Central and Southern Asia,2010,7.2
ARM,Armenia,Central and Southern Asia,2016,5.3
AZE,Azerbaijan,Central and Southern Asia,2006,12.2
AZE,Azerbaijan,Central and Southern Asia,2011,11.0
BGD,Bangladesh,Central and Southern Asia,1994,73.3
BGD,Bangladesh,Central and Southern Asia,1997,68.5
BGD,Bangladesh,Central and Southern Asia,2000,65.3
BGD,Bangladesh,Central and Southern Asia,2004,68.7
BGD,Bangladesh,Central and Southern Asia,2007,66.2
BGD,Bangladesh,Central and Southern Asia,2011,64.9
BGD,Bangladesh,Central and Southern Asia,2014,58.6
BGD,Bangladesh,Central and Southern Asia,2018,58.9
BGD,Bangladesh,Central and Southern Asia,2019,51.4
BRB,Barbados,Europe and Northern America,2012,29.2
BLR,Belarus,Europe and Northern America,2019,4.7
BEL,Belgium,Europe and Northern America,2020,0.1
BLZ,Belize,Europe and Northern America,2016,33.5
BEN,Benin,Sub-Saharan Africa,1996,38.8
BEN,Benin,Sub-Saharan Africa,2001,36.7
BEN,Benin,Sub-Saharan Africa,2006,34.4
BEN,Benin,Sub-Saharan Africa,2012,31.9
BEN,Benin,Sub-Saharan Africa,2018,30.6
BEN,Benin,Sub-Saharan Africa,2022,27.5
BTN,Bhutan,Central and Southern Asia,2010,25.8
BOL,Bolivia,Latin America and the Caribbean,1989,23.7
BOL,Bolivia,Latin America and the Caribbean,1994,24.9
BOL,Bolivia,Latin America and the Caribbean,1998,21.2
BOL,Bolivia,Latin America and the Caribbean,2003,25.8
BOL,Bolivia,Latin America and the Caribbean,2008,21.7
BOL,Bolivia,Latin America and the Caribbean,2016,19.7
BIH,Bosnia and Herzegovina,Europe and Northern America,2012,3.5
BWA,Botswana,Sub-Saharan Africa,1988,10.0
BRA,Brazil,Latin America and the Caribbean,1986,21.8
BRA,Brazil,Latin America and the Caribbean,1996,23.7
BRA,Brazil,Latin America and the Caribbean,2006,26.2
BFA,Burkina Faso,Sub-Saharan Africa,1993,61.7
BFA,Burkina Faso,Sub-Saharan Africa,1999,62.3
