origin_continent,year,stock,dest_continent
Africa,1990,19677870,World
Africa,1995,21240099,World
Africa,2000,21162547,World
Africa,2005,24080357,World
Africa,2010,27829220,World
Africa,2015,34659532,World
Africa,2020,40006733,World
Africa,2024,45750673,World
Asia,1990,54241367,World
Asia,1995,56353308,World
Asia,2000,62981200,World
Asia,2005,69883491,World
Asia,2010,85297992,World
Asia,2015,101186906,World
Asia,2020,111143556,World
Asia,2024,120797915,World
Europe,1990,48816635,World
Europe,1995,49011046,World
Europe,2000,47036377,World
Europe,2005,47859866,World
Europe,2010,50482631,World
Europe,2015,51758410,World
Europe,2020,53490838,World
Europe,2024,60981166,World
Latin America and the Caribbean,1990,14438417,World
Latin America and the Caribbean,1995,18875340,World
Latin America and the Caribbean,2000,23244130,World
Latin America and the Caribbean,2005,28524869,World
Latin America and the Caribbean,2010,32980368,World
Latin America and the Caribbean,2015,34988655,World
Latin America and the Caribbean,2020,42128506,World
Latin America and the Caribbean,2024,48269815,World
North America,1990,2850358,World
North America,1995,3146192,World
North America,2000,3279199,World
North America,2005,3590846,World
North America,2010,4046448,World
North America,2015,4294317,World
North America,2020,4411379,World
North America,2024,4554127,World
Oceania,1990,819761,World
Oceania,1995,929288,World
Oceania,2000,1071329,World
Oceania,2005,1195774,World
Oceania,2010,1353618,World
Oceania,2015,1492055,World
Oceania,2020,1549157,World
Oceania,2024,1602503,World
