code,country,continent,year,value
AFG,Afghanistan,Asia,2015,34.8
AFG,Afghanistan,Asia,2023,28.7
AGO,Angola,Africa,2016,30.3
ALB,Albania,Europe,2009,9.6
ALB,Albania,Europe,2018,11.8
ARG,Argentina,South America,2020,15.5
ARM,Armenia,Asia,2000,19.1
ARM,Armenia,Asia,2005,9.9
ARM,Armenia,Asia,2010,7.2
ARM,Armenia,Asia,2016,5.3
AZE,Azerbaijan,Asia,2006,12.2
AZE,Azerbaijan,Asia,2011,11.0
BDI,Burundi,Africa,2010,20.4
BDI,Burundi,Africa,2017,19.0
BEL,Belgium,Europe,2020,0.1
BEN,Benin,Africa,2001,36.7
BEN,Benin,Africa,2006,34.4
BEN,Benin,Africa,2012,31.9
BEN,Benin,Africa,2018,30.6
BEN,Benin,Africa,2022,27.5
BFA,Burkina Faso,Africa,2003,51.9
BFA,Burkina Faso,Africa,2010,51.6
BFA,Burkina Faso,Africa,2015,51.3
BFA,Burkina Faso,Africa,2021,38.2
BGD,Bangladesh,Asia,2000,65.3
BGD,Bangladesh,Asia,2004,68.7
BGD,Bangladesh,Asia,2007,66.2
BGD,Bangladesh,Asia,2011,64.9
BGD,Bangladesh,Asia,2014,58.6
BGD,Bangladesh,Asia,2018,58.9
BGD,Bangladesh,Asia,2019,51.4
BIH,Bosnia and Herzegovina,Europe,2012,3.5
BLR,Belarus,Europe,2019,4.7
BLZ,Belize,North America,2016,33.5
BOL,Bolivia,South America,2003,25.8
BOL,Bolivia,South America,2008,21.7
BOL,Bolivia,South America,2016,19.7
BRA,Brazil,South America,2006,26.2
BRB,Barbados,North America,2012,29.2
BTN,Bhutan,Asia,2010,25.8
CAF,Central African Republic,Africa,2019,61.0
CHN,China,Asia,2020,2.8
CIV,Cote d'Ivoire,Africa,2005,34.5
CIV,Cote d'Ivoire,Africa,2012,33.2
CIV,Cote d'Ivoire,Africa,2021,25.8
CMR,Cameroon,Africa,2004,47.2
CMR,Cameroon,Africa,2011,38.4
CMR,Cameroon,Africa,2018,29.8
COD,DR Congo,Africa,2007,39.1
COD,DR Congo,Africa,2014,37.3
COD,DR Congo,Africa,2018,29.1
COG,Congo,Africa,2005,30.8
COG,Congo,Africa,2009,33.3
COG,Congo,Africa,2012,32.6
COG,Congo,Africa,2015,27.3
COL,Colombia,South America,2000,21.4
COL,Colombia,South America,2005,23.1
COL,Colombia,South America,2010,23.0
COL,Colombia,South America,2015,23.4
COM,Comoros,Africa,2012,31.6
COM,Comoros,Africa,2022,20.7
CPV,Cape Verde,Africa,2018,8.4
CRI,Costa Rica,North America,2018,17.1
CUB,Cuba,North America,2019,29.4
DJI,Djibouti,Africa,2019,6.5
DNK,Denmark,Europe,2021,0.7
DOM,Dominican Republic,North America,2002,41.2
DOM,Dominican Republic,North America,2007,39.6
DOM,Dominican Republic,North America,2013,36.5
DOM,Dominican Republic,North America,2019,31.5
DZA,Algeria,Africa,2019,3.8
ECU,Ecuador,South America,2018,22.2
EGY,Egypt,Africa,2000,19.5
EGY,Egypt,Africa,2003,18.5
EGY,Egypt,Africa,2005,16.6
EGY,Egypt,Africa,2008,16.6
EGY,Egypt,Africa,2014,17.4
