code,country,continent,year,source,by15_pct,by18_pct,by15_n,by18_n
AFG,Afghanistan,Asia,2023.0,MICS 2022-23,10.0,29.0,1400000.0,4100000.0
ALB,Albania,Europe,2018.0,DHS 2017-18,1.0,12.0,9200.0,104400.0
DZA,Algeria,Africa,2019.0,MICS 2018-19,0.0,4.0,180000.0,1100000.0
AGO,Angola,Africa,2016.0,DHS 2015-16,8.0,30.0,929600.0,2900000.0
ARG,Argentina,South America,2020.0,MICS 2019-20,2.0,16.0,525600.0,2700000.0
ARM,Armenia,Europe,2016.0,DHS 2015-16,0.0,5.0,4400.0,161800.0
AZE,Azerbaijan,Europe,2023.0,MICS 2023,0.0,15.0,59800.0,387400.0
BGD,Bangladesh,Asia,2022.0,DHS 2022,17.0,51.0,23400000.0,43400000.0
BRB,Barbados,North America,2012.0,MICS 2012,8.0,29.0,4100.0,19900.0
BLR,Belarus,Europe,2019.0,MICS 2019,0.0,5.0,2000.0,234300.0
BEL,Belgium,Europe,2020.0,"Statistics Belgium derived from the Population register, 2020",0.0,0.0,,
BLZ,Belize,North America,2016.0,MICS 2015-16,6.0,34.0,8500.0,39800.0
BEN,Benin,Africa,2022.0,MICS 2021-22,6.0,28.0,285500.0,980700.0
BTN,Bhutan,Asia,2010.0,MICS 2010,6.0,26.0,19900.0,82300.0
BOL,Bolivia,South America,2016.0,DHS (EDSA) 2016,3.0,20.0,212500.0,857500.0
BIH,Bosnia and Herzegovina,Europe,2012.0,MICS 2011-12,0.0,4.0,12800.0,138500.0
BRA,Brazil,South America,2006.0,PNDS 2006,6.0,26.0,3500000.0,21900000.0
BFA,Burkina Faso,Africa,2015.0,EMDS 2015,9.0,51.0,604900.0,3000000.0
BDI,Burundi,Africa,2017.0,DHS 2016-17,3.0,19.0,110300.0,690800.0
CPV,Cape Verde,Africa,2018.0,DHS 2018,2.0,8.0,4900.0,27600.0
KHM,Cambodia,Asia,2022.0,DHS 2021-22,2.0,18.0,178400.0,1300000.0
CMR,Cameroon,Africa,2018.0,DHS 2018,11.0,30.0,1000000.0,2800000.0
CAF,Central African Republic,Africa,2019.0,MICS 2018-19,26.0,61.0,393800.0,812000.0
TCD,Chad,Africa,2019.0,MICS 2019,24.0,61.0,949000.0,2300000.0
CHN,China,Asia,2020.0,"National Population Census 2020, UNICEF calculations based on China Population Census Yearbook 2020",0.0,3.0,1000000.0,36700000.0
COL,Colombia,South America,2015.0,DHS 2015,5.0,23.0,1000000.0,4600000.0
COM,Comoros,Africa,2022.0,MICS 2022,5.0,21.0,26200.0,74100.0
COG,Congo,Africa,2015.0,MICS 2014-15,7.0,27.0,141100.0,469300.0
CRI,Costa Rica,North America,2018.0,MICS 2018,2.0,17.0,60800.0,370200.0
CIV,Cote d'Ivoire,Africa,2021.0,DHS 2021,7.0,26.0,766300.0,2200000.0
CUB,Cuba,North America,2019.0,MICS 2019,5.0,29.0,329900.0,1300000.0
PRK,North Korea,Asia,2017.0,MICS 2017,0.0,0.0,,
COD,DR Congo,Africa,2018.0,MICS 2017-18,8.0,29.0,2600000.0,8000000.0
DNK,Denmark,Europe,2021.0,Statistics Denmark 2021,,1.0,,
DJI,Djibouti,Africa,2019.0,EVFF 2019,1.0,7.0,7600.0,32900.0
DOM,Dominican Republic,North America,2019.0,MICS 2019,9.0,32.0,446700.0,1400000.0
ECU,Ecuador,South America,2018.0,ENSANUT 2018,4.0,22.0,228300.0,1400000.0
EGY,Egypt,Africa,2021.0,EFHS 2021,2.0,16.0,1300000.0,7100000.0
SLV,El Salvador,North America,2021.0,NHS 2021,4.0,20.0,199700.0,720300.0
GNQ,Equatorial Guinea,Africa,2011.0,DHS 2011,9.0,30.0,68000.0,160800.0
ERI,Eritrea,Africa,2010.0,EPHS 2010,13.0,41.0,205300.0,526100.0
SWZ,Eswatini,Africa,2022.0,MICS 2021-22,0.0,2.0,6400.0,32200.0
ETH,Ethiopia,Africa,2016.0,DHS 2016,14.0,40.0,8700000.0,19900000.0
FJI,Fiji,Oceania,2021.0,MICS 2021,0.0,4.0,3700.0,31200.0
FIN,Finland,Europe,2017.0,Statistics Finland 2020,,0.0,,
GAB,Gabon,Africa,2021.0,DHS 2019-21,3.0,13.0,32500.0,114200.0
GMB,Gambia,Africa,2020.0,DHS 2019-20,6.0,23.0,73700.0,264600.0
GEO,Georgia,Europe,2022.0,Women’s Health and Life Experiences Survey - National Study on VAW 2022,0.0,9.0,25400.0,248300.0
GHA,Ghana,Africa,2022.0,DHS 2022,3.0,16.0,592500.0,2500000.0
GTM,Guatemala,North America,2015.0,DHS 2014-15,6.0,30.0,565300.0,2100000.0
GIN,Guinea,Africa,2018.0,DHS 2018,17.0,47.0,912800.0,2300000.0
GNB,Guinea-Bissau,Africa,2019.0,MICS 2018-19,8.0,26.0,58600.0,179100.0
GUY,Guyana,South America,2020.0,MICS 2019-20,6.0,32.0,17800.0,79200.0
HTI,Haiti,North America,2017.0,DHS 2016-17,2.0,15.0,160900.0,767000.0
HND,Honduras,North America,2019.0,MICS 2019,9.0,34.0,334000.0,1200000.0
IND,India,Asia,2021.0,NFHS 2019-21,5.0,23.0,90500000.0,222400000.0
IDN,Indonesia,Asia,2017.0,DHS 2017,2.0,16.0,10200000.0,32100000.0
IRN,Iran,Asia,2010.0,MIDHS 2010,3.0,17.0,2300000.0,10400000.0
IRQ,Iraq,Asia,2018.0,MICS 2018,7.0,28.0,971700.0,3400000.0
ISR,Israel,Asia,2022.0,"Population Register, Population and Immigration Authority",0.0,1.0,,
JAM,Jamaica,North America,2022.0,MICS 2022,6.0,27.0,14700.0,102900.0
JOR,Jordan,Asia,2023.0,DHS 2023,1.0,10.0,89000.0,555300.0
KAZ,Kazakhstan,Europe,2015.0,MICS 2015,0.0,7.0,24300.0,640600.0
KEN,Kenya,Africa,2022.0,DHS 2022,2.0,13.0,1000000.0,3900000.0
KIR,Kiribati,Oceania,2019.0,MICS 2018-19,2.0,18.0,1900.0,9000.0
XKX,Kosovo,,2020.0,MICS 2019-20,1.0,4.0,,
KGZ,Kyrgyz Republic,Asia,2023.0,MICS 2023,0.0,9.0,10600.0,265100.0
LAO,Laos,Asia,2023.0,MICS 2023,6.0,31.0,218200.0,804000.0
LBN,Lebanon,Asia,2016.0,MICS 2015-16,1.0,6.0,77300.0,252700.0
LSO,Lesotho,Africa,2024.0,DHS 2023-24,1.0,13.0,20700.0,182400.0
LBR,Liberia,Africa,2020.0,DHS 2019-20,6.0,25.0,165700.0,554700.0
LTU,Lithuania,Europe,2022.0,Statistics Lithuania 2022,0.0,0.0,,
MDG,Madagascar,Africa,2021.0,DHS 2021,13.0,39.0,1200000.0,3500000.0
MWI,Malawi,Africa,2020.0,MICS 2019-20,8.0,38.0,634100.0,2600000.0
MDV,Maldives,Asia,2017.0,DHS 2016-17,0.0,2.0,8800.0,46300.0
MLI,Mali,Africa,2018.0,DHS 2018,16.0,54.0,1300000.0,3500000.0
MHL,Marshall Islands,Oceania,2007.0,DHS 2007,6.0,26.0,700.0,3700.0
MRT,Mauritania,Africa,2021.0,DHS 2019-21,16.0,37.0,292400.0,592500.0
MEX,Mexico,North America,2023.0,ENADID 2023,4.0,18.0,2300000.0,10400000.0
