code,country,continent,year,value
AGO,Angola,Africa,2000,21.360565
AGO,Angola,Africa,2008,14.589688
AGO,Angola,Africa,2018,31.122005
ALB,Albania,Europe,2002,1.0926474
ALB,Albania,Europe,2005,0.5910857
ALB,Albania,Europe,2008,0.19992515
ALB,Albania,Europe,2012,0.6206909
ALB,Albania,Europe,2014,1.0231007
ALB,Albania,Europe,2015,0.096067496
ALB,Albania,Europe,2016,0.13930316
ALB,Albania,Europe,2017,0.39256993
ALB,Albania,Europe,2018,0.04810705
ALB,Albania,Europe,2019,0.0
ALB,Albania,Europe,2020,0.021277364
ARE,United Arab Emirates,Asia,2013,0.0
ARE,United Arab Emirates,Asia,2018,0.0
ARM,Armenia,Asia,2001,13.9747505
ARM,Armenia,Asia,2002,9.966604
ARM,Armenia,Asia,2003,7.5395174
ARM,Armenia,Asia,2004,5.317806
ARM,Armenia,Asia,2005,2.6295705
ARM,Armenia,Asia,2006,1.9985934
ARM,Armenia,Asia,2007,1.5362027
ARM,Armenia,Asia,2008,0.8796942
ARM,Armenia,Asia,2009,1.2476557
ARM,Armenia,Asia,2010,0.9514653
ARM,Armenia,Asia,2011,1.1850709
ARM,Armenia,Asia,2012,0.8322223
ARM,Armenia,Asia,2013,1.7382652
ARM,Armenia,Asia,2014,1.4391431
ARM,Armenia,Asia,2015,1.1463602
ARM,Armenia,Asia,2016,1.1079466
ARM,Armenia,Asia,2017,0.7856546
ARM,Armenia,Asia,2018,1.339821
ARM,Armenia,Asia,2019,1.0300698
ARM,Armenia,Asia,2020,0.3520105
ARM,Armenia,Asia,2021,0.5235208
ARM,Armenia,Asia,2022,0.7810783
AUS,Australia,Oceania,2001,0.7474116
AUS,Australia,Oceania,2003,0.9973307
AUS,Australia,Oceania,2004,0.7125372
AUS,Australia,Oceania,2008,0.36123243
AUS,Australia,Oceania,2010,0.34916842
AUS,Australia,Oceania,2014,0.4984838
AUS,Australia,Oceania,2016,0.49874178
AUS,Australia,Oceania,2018,0.49709398
AUT,Austria,Europe,2000,0.0
AUT,Austria,Europe,2003,0.33220324
AUT,Austria,Europe,2004,0.08165289
AUT,Austria,Europe,2005,0.1536901
AUT,Austria,Europe,2006,0.090110004
AUT,Austria,Europe,2007,0.37229174
AUT,Austria,Europe,2008,0.47116703
AUT,Austria,Europe,2009,0.6562347
AUT,Austria,Europe,2010,0.49070254
AUT,Austria,Europe,2011,0.41540423
AUT,Austria,Europe,2012,0.6169174
AUT,Austria,Europe,2013,0.33799785
AUT,Austria,Europe,2014,0.22426021
AUT,Austria,Europe,2015,0.677193
AUT,Austria,Europe,2016,0.6640636
AUT,Austria,Europe,2017,0.3180896
AUT,Austria,Europe,2018,0.56835836
AUT,Austria,Europe,2019,0.6406389
AUT,Austria,Europe,2020,0.68357754
AUT,Austria,Europe,2021,0.4858222
AZE,Azerbaijan,Asia,2001,6.1576586
AZE,Azerbaijan,Asia,2002,0.07950147
AZE,Azerbaijan,Asia,2003,0.050580967
AZE,Azerbaijan,Asia,2004,0.0
AZE,Azerbaijan,Asia,2005,0.0
BDI,Burundi,Africa,2006,71.844315
BDI,Burundi,Africa,2013,65.13289
BDI,Burundi,Africa,2020,62.06576
BEL,Belgium,Europe,2000,0.305506
BEL,Belgium,Europe,2003,0.29441932
BEL,Belgium,Europe,2004,0.052021958
BEL,Belgium,Europe,2005,0.19307023
BEL,Belgium,Europe,2006,0.16894151
BEL,Belgium,Europe,2007,0.15145147
BEL,Belgium,Europe,2008,0.11841667
BEL,Belgium,Europe,2009,0.107580915
BEL,Belgium,Europe,2010,0.13711528
BEL,Belgium,Europe,2011,0.16826819
BEL,Belgium,Europe,2012,0.15657145
BEL,Belgium,Europe,2013,0.14450805
BEL,Belgium,Europe,2014,0.07649596
BEL,Belgium,Europe,2015,0.07075855
BEL,Belgium,Europe,2016,0.059816156
BEL,Belgium,Europe,2017,0.14786859
BEL,Belgium,Europe,2018,0.0811136
BEL,Belgium,Europe,2019,0.07855247
BEL,Belgium,Europe,2020,0.05472548
BEL,Belgium,Europe,2021,0.02996537
BEN,Benin,Africa,2003,53.089462
BEN,Benin,Africa,2011,54.26165
BEN,Benin,Africa,2015,50.70926
BEN,Benin,Africa,2018,20.082186
BEN,Benin,Africa,2021,12.723279
BFA,Burkina Faso,Africa,2003,54.703735
BFA,Burkina Faso,Africa,2009,52.64917
BFA,Burkina Faso,Africa,2014,39.60286
BFA,Burkina Faso,Africa,2018,31.203825
BFA,Burkina Faso,Africa,2021,25.277073
BGD,Bangladesh,Asia,2000,33.321335
BGD,Bangladesh,Asia,2005,23.96659
BGD,Bangladesh,Asia,2010,18.223856
BGD,Bangladesh,Asia,2016,13.468303
BGD,Bangladesh,Asia,2022,5.008496
BGR,Bulgaria,Europe,2006,5.8306923
BGR,Bulgaria,Europe,2007,1.7921898
BGR,Bulgaria,Europe,2008,1.251184
BGR,Bulgaria,Europe,2009,1.3057501
BGR,Bulgaria,Europe,2010,2.0077357
BGR,Bulgaria,Europe,2011,2.4587572
BGR,Bulgaria,Europe,2012,2.3094437
BGR,Bulgaria,Europe,2013,1.7837765
