code,country,continent,year,value
AGO,Angola,Africa,2000,0.5194514989852905
AGO,Angola,Africa,2008,0.4271551370620727
AGO,Angola,Africa,2018,0.5126428604125977
ALB,Albania,Europe,2002,0.3173897862434387
ALB,Albania,Europe,2005,0.3059565424919128
ALB,Albania,Europe,2008,0.2998467087745666
ALB,Albania,Europe,2012,0.2896048426628113
ALB,Albania,Europe,2014,0.3459889590740204
ALB,Albania,Europe,2015,0.327537328004837
ALB,Albania,Europe,2016,0.3373629748821258
ALB,Albania,Europe,2017,0.3305566310882568
ALB,Albania,Europe,2018,0.3014828264713287
ALB,Albania,Europe,2019,0.301157683134079
ALB,Albania,Europe,2020,0.2941963076591491
ARE,United Arab Emirates,Asia,2013,0.3251042068004608
ARE,United Arab Emirates,Asia,2018,0.263990044593811
ARM,Armenia,Asia,2001,0.3536435961723327
ARM,Armenia,Asia,2002,0.3477967381477356
ARM,Armenia,Asia,2003,0.3302808701992035
ARM,Armenia,Asia,2004,0.3750563263893127
ARM,Armenia,Asia,2005,0.3599235415458679
ARM,Armenia,Asia,2006,0.2970998585224151
ARM,Armenia,Asia,2007,0.3122605681419372
ARM,Armenia,Asia,2008,0.2918814122676849
ARM,Armenia,Asia,2009,0.2801587879657745
ARM,Armenia,Asia,2010,0.299925833940506
ARM,Armenia,Asia,2011,0.2935294508934021
ARM,Armenia,Asia,2012,0.2960226237773895
ARM,Armenia,Asia,2013,0.3057966232299804
ARM,Armenia,Asia,2014,0.3148328959941864
ARM,Armenia,Asia,2015,0.3235677182674408
ARM,Armenia,Asia,2016,0.3254794776439667
ARM,Armenia,Asia,2017,0.336218386888504
ARM,Armenia,Asia,2018,0.344334989786148
ARM,Armenia,Asia,2019,0.3003121316432953
ARM,Armenia,Asia,2020,0.2513160407543182
ARM,Armenia,Asia,2021,0.2794013023376465
ARM,Armenia,Asia,2022,0.2794529497623443
ARM,Armenia,Asia,2023,0.2715465128421783
ARM,Armenia,Asia,2024,0.2744480669498443
AUS,Australia,Oceania,2001,0.3346266448497772
AUS,Australia,Oceania,2003,0.3349778652191162
AUS,Australia,Oceania,2004,0.3305647671222687
AUS,Australia,Oceania,2008,0.3543021082878113
AUS,Australia,Oceania,2010,0.3465797901153564
AUS,Australia,Oceania,2014,0.3440047204494476
AUS,Australia,Oceania,2016,0.3368617296218872
AUS,Australia,Oceania,2018,0.3433473706245422
AUS,Australia,Oceania,2020,0.338300496339798
AUT,Austria,Europe,2000,0.2896521687507629
AUT,Austria,Europe,2003,0.2946562767028808
AUT,Austria,Europe,2004,0.2978884577751159
AUT,Austria,Europe,2005,0.2871520817279815
AUT,Austria,Europe,2006,0.295875608921051
AUT,Austria,Europe,2007,0.3057945072650909
AUT,Austria,Europe,2008,0.3043709397315979
AUT,Austria,Europe,2009,0.3149490654468536
AUT,Austria,Europe,2010,0.3025166392326355
AUT,Austria,Europe,2011,0.3080105781555176
AUT,Austria,Europe,2012,0.3047561645507812
AUT,Austria,Europe,2013,0.3075290620326996
AUT,Austria,Europe,2014,0.3053537309169769
AUT,Austria,Europe,2015,0.3053083121776581
AUT,Austria,Europe,2016,0.3079513907432556
AUT,Austria,Europe,2017,0.2973693013191223
AUT,Austria,Europe,2018,0.3084742128849029
AUT,Austria,Europe,2019,0.3021051585674286
AUT,Austria,Europe,2020,0.2980069816112518
AUT,Austria,Europe,2021,0.3070168197154999
AUT,Austria,Europe,2022,0.308929294347763
AUT,Austria,Europe,2023,0.3120467960834503
AZE,Azerbaijan,Asia,2001,0.3645493686199188
AZE,Azerbaijan,Asia,2002,0.2527766525745392
AZE,Azerbaijan,Asia,2003,0.2683287858963012
AZE,Azerbaijan,Asia,2004,0.2662159204483032
AZE,Azerbaijan,Asia,2005,0.2655490636825561
BDI,Burundi,Africa,2006,0.333598643541336
BDI,Burundi,Africa,2013,0.3862397670745849
BDI,Burundi,Africa,2020,0.3745608627796173
BEL,Belgium,Europe,2000,0.3314809799194336
BEL,Belgium,Europe,2003,0.2814334332942962
BEL,Belgium,Europe,2004,0.3054142892360687
BEL,Belgium,Europe,2005,0.2933692038059234
BEL,Belgium,Europe,2006,0.2805405259132385
BEL,Belgium,Europe,2007,0.2923767864704132
BEL,Belgium,Europe,2008,0.283737301826477
BEL,Belgium,Europe,2009,0.2855119109153747
BEL,Belgium,Europe,2010,0.2837482988834381
BEL,Belgium,Europe,2011,0.2806043922901153
BEL,Belgium,Europe,2012,0.2749049961566925
BEL,Belgium,Europe,2013,0.2766885757446289
BEL,Belgium,Europe,2014,0.2813401222229004
BEL,Belgium,Europe,2015,0.2772930860519409
BEL,Belgium,Europe,2016,0.2758074104785919
BEL,Belgium,Europe,2017,0.2738764882087707
BEL,Belgium,Europe,2018,0.2721419930458069
BEL,Belgium,Europe,2019,0.2721955478191376
BEL,Belgium,Europe,2020,0.2595827877521515
BEL,Belgium,Europe,2021,0.2657763361930847
BEL,Belgium,Europe,2022,0.2637555599212646
BEL,Belgium,Europe,2023,0.2682310342788696
BEN,Benin,Africa,2003,0.3857746720314026
BEN,Benin,Africa,2011,0.4343927502632141
BEN,Benin,Africa,2015,0.4760386049747467
BEN,Benin,Africa,2018,0.3794864416122436
BEN,Benin,Africa,2021,0.3439580798149109
BFA,Burkina Faso,Africa,2003,0.4325115084648132
BFA,Burkina Faso,Africa,2009,0.3976069986820221
BFA,Burkina Faso,Africa,2014,0.3530122637748718
BFA,Burkina Faso,Africa,2018,0.4301673173904419
BFA,Burkina Faso,Africa,2021,0.3739128708839416
BGD,Bangladesh,Asia,2000,0.334065318107605
BGD,Bangladesh,Asia,2005,0.3320129215717315
BGD,Bangladesh,Asia,2010,0.3213031888008117
BGD,Bangladesh,Asia,2016,0.3238527178764343
BGD,Bangladesh,Asia,2022,0.3093025386333465
BGR,Bulgaria,Europe,2006,0.3568882644176483
BGR,Bulgaria,Europe,2007,0.3609587848186493
BGR,Bulgaria,Europe,2008,0.3357256948947906
BGR,Bulgaria,Europe,2009,0.3382307589054107
BGR,Bulgaria,Europe,2010,0.3565346598625183
BGR,Bulgaria,Europe,2011,0.3427497744560241
BGR,Bulgaria,Europe,2012,0.3601097464561462
BGR,Bulgaria,Europe,2013,0.3657089471817016
BGR,Bulgaria,Europe,2014,0.3741585314273834
BGR,Bulgaria,Europe,2015,0.3856437802314758
BGR,Bulgaria,Europe,2016,0.4058967530727386
BGR,Bulgaria,Europe,2017,0.4037896394729614
BGR,Bulgaria,Europe,2018,0.4128407537937164
BGR,Bulgaria,Europe,2019,0.4027111828327179
BGR,Bulgaria,Europe,2020,0.4052315354347229
BGR,Bulgaria,Europe,2021,0.3900544643402099
BGR,Bulgaria,Europe,2022,0.3820150196552276
BGR,Bulgaria,Europe,2023,0.3947053551673889
BIH,Bosnia and Herzegovina,Europe,2001,0.2996641993522644
BIH,Bosnia and Herzegovina,Europe,2004,0.3403748869895935
BIH,Bosnia and Herzegovina,Europe,2007,0.3425677716732025
BIH,Bosnia and Herzegovina,Europe,2011,0.3332180380821228
BIH,Bosnia and Herzegovina,Europe,2015,0.3293428421020508
BIH,Bosnia and Herzegovina,Europe,2021,0.3031010031700134
BLR,Belarus,Europe,2000,0.3116748332977295
BLR,Belarus,Europe,2001,0.3057672381401062
BLR,Belarus,Europe,2002,0.3033624291419983
BLR,Belarus,Europe,2003,0.2882101237773895
BLR,Belarus,Europe,2004,0.2647988498210907
BLR,Belarus,Europe,2005,0.2755340933799743
BLR,Belarus,Europe,2006,0.2827544212341308
BLR,Belarus,Europe,2007,0.2961238026618957
BLR,Belarus,Europe,2008,0.2782604396343231
BLR,Belarus,Europe,2009,0.2768930494785309
BLR,Belarus,Europe,2010,0.2856659889221191
BLR,Belarus,Europe,2011,0.271525502204895
BLR,Belarus,Europe,2012,0.2652619779109955
BLR,Belarus,Europe,2013,0.265750527381897
BLR,Belarus,Europe,2014,0.2717666625976562
BLR,Belarus,Europe,2015,0.2563322484493255
BLR,Belarus,Europe,2016,0.2530661523342132
BLR,Belarus,Europe,2017,0.2544457018375397
BLR,Belarus,Europe,2018,0.2524052560329437
BLR,Belarus,Europe,2019,0.2527784705162048
BLR,Belarus,Europe,2020,0.2438335567712783
BLZ,Belize,North America,2018,0.3994958400726318
BOL,Bolivia,South America,2000,0.6156523823738098
BOL,Bolivia,South America,2001,0.5736684203147888
BOL,Bolivia,South America,2002,0.5927492380142212
BOL,Bolivia,South America,2004,0.5500035285949707
BOL,Bolivia,South America,2005,0.5851856470108032
BOL,Bolivia,South America,2006,0.566602885723114
BOL,Bolivia,South America,2007,0.5453250408172607
BOL,Bolivia,South America,2008,0.5081493854522705
BOL,Bolivia,South America,2009,0.4922029674053192
BOL,Bolivia,South America,2011,0.4608036279678345
BOL,Bolivia,South America,2012,0.4657996892929077
BOL,Bolivia,South America,2013,0.475885808467865
BOL,Bolivia,South America,2014,0.4782916903495788
BOL,Bolivia,South America,2015,0.4673164486885071
BOL,Bolivia,South America,2016,0.4524082243442535
BOL,Bolivia,South America,2017,0.4461779594421386
BOL,Bolivia,South America,2018,0.4257908761501312
BOL,Bolivia,South America,2019,0.4164415895938873
BOL,Bolivia,South America,2020,0.4364292025566101
BOL,Bolivia,South America,2021,0.4091338217258453
BOL,Bolivia,South America,2022,0.4120837748050689
BOL,Bolivia,South America,2023,0.4205011427402496
BOL,Bolivia,South America,2024,0.4086832404136657
BRA,Brazil,South America,2001,0.5840287804603577
BRA,Brazil,South America,2002,0.5810567140579224
BRA,Brazil,South America,2003,0.5755338668823242
BRA,Brazil,South America,2004,0.5647182464599609
BRA,Brazil,South America,2005,0.5631012916564941
BRA,Brazil,South America,2006,0.5564221143722534
BRA,Brazil,South America,2007,0.5491916537284851
BRA,Brazil,South America,2008,0.5403758883476257
BRA,Brazil,South America,2009,0.5368199944496155
BRA,Brazil,South America,2011,0.5294176936149597
BRA,Brazil,South America,2012,0.5344597697257996
BRA,Brazil,South America,2013,0.5271087288856506
BRA,Brazil,South America,2014,0.5205163359642029
BRA,Brazil,South America,2015,0.5193667411804199
BRA,Brazil,South America,2016,0.5336230397224426
BRA,Brazil,South America,2017,0.5328665971755981
BRA,Brazil,South America,2018,0.5389050245285034
BRA,Brazil,South America,2019,0.534758448600769
BRA,Brazil,South America,2020,0.4882206320762634
BRA,Brazil,South America,2021,0.5285088419914246
BRA,Brazil,South America,2022,0.5189443826675415
BRA,Brazil,South America,2023,0.5148624181747437
BRA,Brazil,South America,2024,0.5025812387466431
BRB,Barbados,North America,2016,0.3406803607940674
BTN,Bhutan,Asia,2003,0.4089800119400024
BTN,Bhutan,Asia,2007,0.3809077143669128
BTN,Bhutan,Asia,2012,0.3880932629108429
