code,country,continent,year,value
ABW,Aruba,North America,2000,97.0
ABW,Aruba,North America,2010,97.0
AFG,Afghanistan,Asia,2011,31.0
AFG,Afghanistan,Asia,2015,33.75384
AFG,Afghanistan,Asia,2021,37.0
AGO,Angola,Africa,2001,67.0
AGO,Angola,Africa,2014,66.0
AGO,Angola,Africa,2015,66.23586
ALB,Albania,Europe,2001,99.0
ALB,Albania,Europe,2008,96.0
ALB,Albania,Europe,2011,97.0
ALB,Albania,Europe,2012,97.0
ALB,Albania,Europe,2017,98.81623
ARE,United Arab Emirates,Asia,2005,90.0
ARE,United Arab Emirates,Asia,2019,98.0
ARE,United Arab Emirates,Asia,2021,98.0
ARE,United Arab Emirates,Asia,2022,98.0
ARE,United Arab Emirates,Asia,2023,98.0
ARG,Argentina,South America,2001,97.0
ARM,Armenia,Asia,2001,99.0
ARM,Armenia,Asia,2011,100.0
ARM,Armenia,Asia,2016,100.0
ARM,Armenia,Asia,2017,100.0
ARM,Armenia,Asia,2020,100.0
ARM,Armenia,Asia,2022,99.825
ATG,Antigua and Barbuda,North America,2001,99.0
AZE,Azerbaijan,Asia,2007,100.0
AZE,Azerbaijan,Asia,2009,100.0
AZE,Azerbaijan,Asia,2010,100.0
AZE,Azerbaijan,Asia,2011,100.0
AZE,Azerbaijan,Asia,2012,100.0
AZE,Azerbaijan,Asia,2013,100.0
AZE,Azerbaijan,Asia,2014,100.0
AZE,Azerbaijan,Asia,2015,100.0
AZE,Azerbaijan,Asia,2016,100.0
AZE,Azerbaijan,Asia,2017,100.0
AZE,Azerbaijan,Asia,2019,100.0
AZE,Azerbaijan,Asia,2023,100.0
BDI,Burundi,Africa,2000,59.0
BDI,Burundi,Africa,2008,48.0
BDI,Burundi,Africa,2014,62.0
BDI,Burundi,Africa,2016,65.68774
BDI,Burundi,Africa,2017,68.0
BEN,Benin,Africa,2002,35.0
BEN,Benin,Africa,2017,38.87121
BEN,Benin,Africa,2019,48.99828
BEN,Benin,Africa,2021,43.83417
BEN,Benin,Africa,2022,51.37877
BFA,Burkina Faso,Africa,2003,22.0
BFA,Burkina Faso,Africa,2005,24.0
BFA,Burkina Faso,Africa,2006,22.0
BFA,Burkina Faso,Africa,2007,28.0
BFA,Burkina Faso,Africa,2014,35.0
BFA,Burkina Faso,Africa,2018,39.0
BFA,Burkina Faso,Africa,2019,30.0
BFA,Burkina Faso,Africa,2021,36.96738
BFA,Burkina Faso,Africa,2022,40.92361
BGD,Bangladesh,Asia,2001,47.0
BGD,Bangladesh,Asia,2011,59.0
BGD,Bangladesh,Asia,2012,58.0
BGD,Bangladesh,Asia,2013,61.0
BGD,Bangladesh,Asia,2014,61.0
BGD,Bangladesh,Asia,2015,65.0
BGD,Bangladesh,Asia,2016,73.0
BGD,Bangladesh,Asia,2017,73.0
BGD,Bangladesh,Asia,2018,74.0
BGD,Bangladesh,Asia,2019,75.0
BGD,Bangladesh,Asia,2020,75.0
BGD,Bangladesh,Asia,2021,76.0
BGD,Bangladesh,Asia,2022,79.0
BGR,Bulgaria,Europe,2001,98.0
BGR,Bulgaria,Europe,2011,98.0
BHR,Bahrain,Asia,2001,87.0
BHR,Bahrain,Asia,2022,98.0
BHR,Bahrain,Asia,2023,98.0
BIH,Bosnia and Herzegovina,Europe,2000,97.0
BIH,Bosnia and Herzegovina,Europe,2013,97.0
BLR,Belarus,Europe,2009,100.0
BLR,Belarus,Europe,2019,100.0
BLZ,Belize,North America,2015,90.91604
BOL,Bolivia,South America,2001,87.0
BOL,Bolivia,South America,2007,91.0
BOL,Bolivia,South America,2008,91.0
BOL,Bolivia,South America,2009,91.0
BOL,Bolivia,South America,2011,92.0
BOL,Bolivia,South America,2012,94.0
BOL,Bolivia,South America,2015,92.0
BOL,Bolivia,South America,2020,94.0
BRA,Brazil,South America,2000,86.0
BRA,Brazil,South America,2004,89.0
BRA,Brazil,South America,2006,90.0
BRA,Brazil,South America,2007,90.0
BRA,Brazil,South America,2008,90.0
BRA,Brazil,South America,2009,90.0
BRA,Brazil,South America,2010,90.0
BRA,Brazil,South America,2011,91.0
BRA,Brazil,South America,2012,91.0
BRA,Brazil,South America,2013,91.0
BRA,Brazil,South America,2014,92.0
BRA,Brazil,South America,2015,92.0
BRA,Brazil,South America,2016,93.0
BRA,Brazil,South America,2017,93.0
BRA,Brazil,South America,2018,93.0
BRN,Brunei,Asia,2001,93.0
BRN,Brunei,Asia,2011,96.0
BTN,Bhutan,Asia,2005,53.0
BTN,Bhutan,Asia,2012,55.0
BTN,Bhutan,Asia,2017,67.0
BWA,Botswana,Africa,2003,81.0
CAF,Central African Republic,Africa,2000,51.0
CAF,Central African Republic,Africa,2019,42.44279
CHL,Chile,South America,2002,96.0
CHL,Chile,South America,2011,97.0
CHL,Chile,South America,2013,96.0
CHL,Chile,South America,2015,97.0
CHL,Chile,South America,2017,96.0
CHN,China,Asia,2000,91.0
CHN,China,Asia,2010,95.0
CHN,China,Asia,2020,97.0
CIV,Cote d'Ivoire,Africa,2000,49.0
CIV,Cote d'Ivoire,Africa,2014,44.0
CIV,Cote d'Ivoire,Africa,2016,50.03968
CIV,Cote d'Ivoire,Africa,2019,90.0
CIV,Cote d'Ivoire,Africa,2021,50.00064
CMR,Cameroon,Africa,2000,68.0
CMR,Cameroon,Africa,2007,71.0
CMR,Cameroon,Africa,2010,71.0
CMR,Cameroon,Africa,2018,72.54713
COD,DR Congo,Africa,2001,67.0
COD,DR Congo,Africa,2012,75.0
COD,DR Congo,Africa,2016,77.0
COD,DR Congo,Africa,2018,73.55303
COG,Congo,Africa,2005,76.0
COL,Colombia,South America,2004,93.0
COL,Colombia,South America,2005,93.0
COL,Colombia,South America,2006,92.0
COL,Colombia,South America,2007,93.0
COL,Colombia,South America,2008,93.0
COL,Colombia,South America,2009,93.0
COL,Colombia,South America,2010,93.0
COL,Colombia,South America,2011,94.0
COL,Colombia,South America,2014,94.0
COL,Colombia,South America,2015,94.0
COL,Colombia,South America,2016,95.0
COL,Colombia,South America,2018,95.0
COL,Colombia,South America,2019,95.0
COL,Colombia,South America,2020,96.0
COM,Comoros,Africa,2000,68.0
CPV,Cape Verde,Africa,2012,85.0
CPV,Cape Verde,Africa,2015,87.0
CRI,Costa Rica,North America,2000,95.0
CRI,Costa Rica,North America,2011,97.0
CUB,Cuba,North America,2002,100.0
CUB,Cuba,North America,2012,100.0
CUB,Cuba,North America,2019,97.65491
CYM,Cayman Islands,North America,2007,99.0
CYP,Cyprus,Asia,2001,97.0
CYP,Cyprus,Asia,2011,99.0
DOM,Dominican Republic,North America,2002,87.0
DOM,Dominican Republic,North America,2007,88.0
DOM,Dominican Republic,North America,2010,90.0
DOM,Dominican Republic,North America,2011,90.0
DOM,Dominican Republic,North America,2012,90.0
