dataset,missing_type,code,country
edu_spending.csv,incomplete,ALB,Albania
edu_spending.csv,incomplete,DZA,Algeria
edu_spending.csv,incomplete,AND,Andorra
edu_spending.csv,incomplete,AGO,Angola
edu_spending.csv,incomplete,BLR,Belarus
edu_spending.csv,incomplete,BEL,Belgium
edu_spending.csv,incomplete,BEN,Benin
edu_spending.csv,incomplete,BIH,Bosnia and Herzegovina
edu_spending.csv,incomplete,BWA,Botswana
edu_spending.csv,incomplete,BGR,Bulgaria
edu_spending.csv,incomplete,BFA,Burkina Faso
edu_spending.csv,incomplete,BDI,Burundi
edu_spending.csv,incomplete,CMR,Cameroon
edu_spending.csv,incomplete,CPV,Cape Verde
edu_spending.csv,incomplete,CAF,Central African Republic
edu_spending.csv,incomplete,TCD,Chad
edu_spending.csv,incomplete,COM,Comoros
edu_spending.csv,incomplete,COG,Congo
edu_spending.csv,incomplete,HRV,Croatia
edu_spending.csv,incomplete,COD,DR Congo
edu_spending.csv,incomplete,DNK,Denmark
edu_spending.csv,incomplete,DJI,Djibouti
edu_spending.csv,incomplete,EGY,Egypt
edu_spending.csv,incomplete,ERI,Eritrea
edu_spending.csv,incomplete,EST,Estonia
edu_spending.csv,incomplete,SWZ,Eswatini
edu_spending.csv,incomplete,ETH,Ethiopia
edu_spending.csv,incomplete,FRA,France
edu_spending.csv,incomplete,GAB,Gabon
edu_spending.csv,incomplete,DEU,Germany
edu_spending.csv,incomplete,GHA,Ghana
edu_spending.csv,incomplete,GRC,Greece
edu_spending.csv,incomplete,GIN,Guinea
edu_spending.csv,incomplete,GNB,Guinea-Bissau
edu_spending.csv,incomplete,IRL,Ireland
edu_spending.csv,incomplete,KEN,Kenya
edu_spending.csv,incomplete,LVA,Latvia
edu_spending.csv,incomplete,LSO,Lesotho
edu_spending.csv,incomplete,LBR,Liberia
edu_spending.csv,incomplete,LIE,Liechtenstein
edu_spending.csv,incomplete,LTU,Lithuania
edu_spending.csv,incomplete,LUX,Luxembourg
edu_spending.csv,incomplete,MWI,Malawi
edu_spending.csv,incomplete,MLI,Mali
edu_spending.csv,incomplete,MLT,Malta
edu_spending.csv,incomplete,MRT,Mauritania
edu_spending.csv,incomplete,MCO,Monaco
edu_spending.csv,incomplete,MAR,Morocco
edu_spending.csv,incomplete,MOZ,Mozambique
edu_spending.csv,incomplete,NAM,Namibia
edu_spending.csv,incomplete,NER,Niger
edu_spending.csv,incomplete,NGA,Nigeria
edu_spending.csv,incomplete,MKD,North Macedonia
edu_spending.csv,incomplete,PRT,Portugal
edu_spending.csv,incomplete,RWA,Rwanda
edu_spending.csv,incomplete,SMR,San Marino
edu_spending.csv,incomplete,STP,Sao Tome and Principe
edu_spending.csv,incomplete,SEN,Senegal
edu_spending.csv,incomplete,SRB,Serbia
edu_spending.csv,incomplete,SYC,Seychelles
edu_spending.csv,incomplete,SLE,Sierra Leone
edu_spending.csv,incomplete,SVN,Slovenia
edu_spending.csv,incomplete,SOM,Somalia
edu_spending.csv,incomplete,SSD,South Sudan
edu_spending.csv,incomplete,SDN,Sudan
edu_spending.csv,incomplete,TZA,Tanzania
edu_spending.csv,incomplete,TUN,Tunisia
edu_spending.csv,incomplete,UGA,Uganda
edu_spending.csv,incomplete,UKR,Ukraine
edu_spending.csv,incomplete,GBR,United Kingdom
edu_spending.csv,incomplete,ZMB,Zambia
edu_spending.csv,incomplete,ZWE,Zimbabwe
gpi_secondary.csv,incomplete,ALB,Albania
gpi_secondary.csv,incomplete,DZA,Algeria
gpi_secondary.csv,incomplete,AND,Andorra
gpi_secondary.csv,incomplete,AGO,Angola
gpi_secondary.csv,incomplete,AUT,Austria
gpi_secondary.csv,incomplete,BLR,Belarus
gpi_secondary.csv,incomplete,BEL,Belgium
gpi_secondary.csv,incomplete,BEN,Benin
gpi_secondary.csv,incomplete,BIH,Bosnia and Herzegovina
gpi_secondary.csv,incomplete,BWA,Botswana
gpi_secondary.csv,incomplete,BGR,Bulgaria
gpi_secondary.csv,incomplete,BFA,Burkina Faso
gpi_secondary.csv,incomplete,BDI,Burundi
gpi_secondary.csv,incomplete,CMR,Cameroon
gpi_secondary.csv,incomplete,CPV,Cape Verde
gpi_secondary.csv,incomplete,CAF,Central African Republic
gpi_secondary.csv,incomplete,TCD,Chad
gpi_secondary.csv,incomplete,COM,Comoros
gpi_secondary.csv,incomplete,COG,Congo
gpi_secondary.csv,incomplete,CIV,Cote d'Ivoire
gpi_secondary.csv,incomplete,CZE,Czechia
gpi_secondary.csv,incomplete,DNK,Denmark
gpi_secondary.csv,incomplete,EGY,Egypt
gpi_secondary.csv,incomplete,ERI,Eritrea
gpi_secondary.csv,incomplete,EST,Estonia
gpi_secondary.csv,incomplete,SWZ,Eswatini
gpi_secondary.csv,incomplete,ETH,Ethiopia
gpi_secondary.csv,incomplete,FIN,Finland
gpi_secondary.csv,incomplete,FRA,France
gpi_secondary.csv,incomplete,GAB,Gabon
gpi_secondary.csv,incomplete,GMB,Gambia
gpi_secondary.csv,incomplete,DEU,Germany
gpi_secondary.csv,incomplete,GHA,Ghana
gpi_secondary.csv,incomplete,GRC,Greece
gpi_secondary.csv,incomplete,GIN,Guinea
gpi_secondary.csv,incomplete,GNB,Guinea-Bissau
gpi_secondary.csv,incomplete,HUN,Hungary
gpi_secondary.csv,incomplete,ISL,Iceland
gpi_secondary.csv,incomplete,ITA,Italy
gpi_secondary.csv,incomplete,KEN,Kenya
gpi_secondary.csv,incomplete,LVA,Latvia
gpi_secondary.csv,incomplete,LSO,Lesotho
gpi_secondary.csv,incomplete,LBR,Liberia
gpi_secondary.csv,incomplete,LIE,Liechtenstein
gpi_secondary.csv,incomplete,LTU,Lithuania
gpi_secondary.csv,incomplete,LUX,Luxembourg
gpi_secondary.csv,incomplete,MDG,Madagascar
gpi_secondary.csv,incomplete,MWI,Malawi
gpi_secondary.csv,incomplete,MLI,Mali
gpi_secondary.csv,incomplete,MLT,Malta
gpi_secondary.csv,incomplete,MRT,Mauritania
gpi_secondary.csv,incomplete,MUS,Mauritius
gpi_secondary.csv,incomplete,MDA,Moldova
gpi_secondary.csv,incomplete,MNE,Montenegro
gpi_secondary.csv,incomplete,MAR,Morocco
gpi_secondary.csv,incomplete,MOZ,Mozambique
gpi_secondary.csv,incomplete,NAM,Namibia
gpi_secondary.csv,incomplete,NLD,Netherlands
gpi_secondary.csv,incomplete,NER,Niger
gpi_secondary.csv,incomplete,MKD,North Macedonia
gpi_secondary.csv,incomplete,NOR,Norway
gpi_secondary.csv,incomplete,POL,Poland
gpi_secondary.csv,incomplete,PRT,Portugal
gpi_secondary.csv,incomplete,ROU,Romania
gpi_secondary.csv,incomplete,RWA,Rwanda
gpi_secondary.csv,incomplete,SMR,San Marino
gpi_secondary.csv,incomplete,STP,Sao Tome and Principe
gpi_secondary.csv,incomplete,SEN,Senegal
gpi_secondary.csv,incomplete,SRB,Serbia
gpi_secondary.csv,incomplete,SYC,Seychelles
gpi_secondary.csv,incomplete,SLE,Sierra Leone
gpi_secondary.csv,incomplete,SVK,Slovakia
gpi_secondary.csv,incomplete,SVN,Slovenia
gpi_secondary.csv,incomplete,ZAF,South Africa
gpi_secondary.csv,incomplete,SSD,South Sudan
gpi_secondary.csv,incomplete,ESP,Spain
gpi_secondary.csv,incomplete,SDN,Sudan
gpi_secondary.csv,incomplete,SWE,Sweden
gpi_secondary.csv,incomplete,CHE,Switzerland
gpi_secondary.csv,incomplete,TZA,Tanzania
gpi_secondary.csv,incomplete,TGO,Togo
gpi_secondary.csv,incomplete,UGA,Uganda
gpi_secondary.csv,incomplete,UKR,Ukraine
gpi_secondary.csv,incomplete,GBR,United Kingdom
gpi_secondary.csv,incomplete,ZWE,Zimbabwe
income.csv,incomplete,ERI,Eritrea
income.csv,incomplete,IMN,Isle of Man
income.csv,incomplete,LIE,Liechtenstein
income.csv,incomplete,SMR,San Marino
income.csv,incomplete,SSD,South Sudan
literacy.csv,incomplete,ALB,Albania
literacy.csv,incomplete,DZA,Algeria
literacy.csv,incomplete,AGO,Angola
literacy.csv,incomplete,BLR,Belarus
literacy.csv,incomplete,BEN,Benin
literacy.csv,incomplete,BIH,Bosnia and Herzegovina
literacy.csv,incomplete,BWA,Botswana
literacy.csv,incomplete,BGR,Bulgaria
literacy.csv,incomplete,BFA,Burkina Faso
literacy.csv,incomplete,BDI,Burundi
literacy.csv,incomplete,CMR,Cameroon
literacy.csv,incomplete,CPV,Cape Verde
literacy.csv,incomplete,CAF,Central African Republic
literacy.csv,incomplete,TCD,Chad
literacy.csv,incomplete,COM,Comoros
literacy.csv,incomplete,COG,Congo
literacy.csv,incomplete,CIV,Cote d'Ivoire
literacy.csv,incomplete,HRV,Croatia
literacy.csv,incomplete,COD,DR Congo
literacy.csv,incomplete,EGY,Egypt
literacy.csv,incomplete,GNQ,Equatorial Guinea
literacy.csv,incomplete,ERI,Eritrea
literacy.csv,incomplete,EST,Estonia
literacy.csv,incomplete,SWZ,Eswatini
literacy.csv,incomplete,ETH,Ethiopia
literacy.csv,incomplete,GAB,Gabon
literacy.csv,incomplete,GMB,Gambia
literacy.csv,incomplete,GHA,Ghana
literacy.csv,incomplete,GRC,Greece
literacy.csv,incomplete,GIN,Guinea
literacy.csv,incomplete,GNB,Guinea-Bissau
literacy.csv,incomplete,ITA,Italy
literacy.csv,incomplete,KEN,Kenya
literacy.csv,incomplete,LVA,Latvia
literacy.csv,incomplete,LSO,Lesotho
literacy.csv,incomplete,LTU,Lithuania
literacy.csv,incomplete,MDG,Madagascar
literacy.csv,incomplete,MWI,Malawi
literacy.csv,incomplete,MLI,Mali
literacy.csv,incomplete,MLT,Malta
literacy.csv,incomplete,MRT,Mauritania
literacy.csv,incomplete,MUS,Mauritius
literacy.csv,incomplete,MDA,Moldova
literacy.csv,incomplete,MNE,Montenegro
literacy.csv,incomplete,MAR,Morocco
literacy.csv,incomplete,MOZ,Mozambique
literacy.csv,incomplete,NAM,Namibia
literacy.csv,incomplete,NER,Niger
literacy.csv,incomplete,NGA,Nigeria
literacy.csv,incomplete,MKD,North Macedonia
literacy.csv,incomplete,PRT,Portugal
literacy.csv,incomplete,ROU,Romania
literacy.csv,incomplete,RWA,Rwanda
literacy.csv,incomplete,SMR,San Marino
literacy.csv,incomplete,STP,Sao Tome and Principe
literacy.csv,incomplete,SEN,Senegal
literacy.csv,incomplete,SRB,Serbia
literacy.csv,incomplete,SYC,Seychelles
literacy.csv,incomplete,SLE,Sierra Leone
literacy.csv,incomplete,SOM,Somalia
literacy.csv,incomplete,ZAF,South Africa
literacy.csv,incomplete,SSD,South Sudan
literacy.csv,incomplete,ESP,Spain
literacy.csv,incomplete,SDN,Sudan
literacy.csv,incomplete,TZA,Tanzania
literacy.csv,incomplete,TGO,Togo
literacy.csv,incomplete,TUN,Tunisia
literacy.csv,incomplete,UGA,Uganda
literacy.csv,incomplete,UKR,Ukraine
literacy.csv,incomplete,ZMB,Zambia
literacy.csv,incomplete,ZWE,Zimbabwe
out_of_school.csv,incomplete,ALB,Albania
out_of_school.csv,incomplete,AND,Andorra
out_of_school.csv,incomplete,AGO,Angola
