dataset,missing_type,code,country
education_spending.csv,incomplete,ALB,Albania
education_spending.csv,incomplete,DZA,Algeria
education_spending.csv,incomplete,AND,Andorra
education_spending.csv,incomplete,AGO,Angola
education_spending.csv,incomplete,BLR,Belarus
education_spending.csv,incomplete,BEL,Belgium
education_spending.csv,incomplete,BEN,Benin
education_spending.csv,incomplete,BIH,Bosnia and Herzegovina
education_spending.csv,incomplete,BWA,Botswana
education_spending.csv,incomplete,BGR,Bulgaria
education_spending.csv,incomplete,BFA,Burkina Faso
education_spending.csv,incomplete,BDI,Burundi
education_spending.csv,incomplete,CMR,Cameroon
education_spending.csv,incomplete,CPV,Cape Verde
education_spending.csv,incomplete,CAF,Central African Republic
education_spending.csv,incomplete,TCD,Chad
education_spending.csv,incomplete,COM,Comoros
education_spending.csv,incomplete,COG,Congo
education_spending.csv,incomplete,HRV,Croatia
education_spending.csv,incomplete,COD,DR Congo
education_spending.csv,incomplete,DNK,Denmark
education_spending.csv,incomplete,DJI,Djibouti
education_spending.csv,incomplete,EGY,Egypt
education_spending.csv,incomplete,ERI,Eritrea
education_spending.csv,incomplete,EST,Estonia
education_spending.csv,incomplete,SWZ,Eswatini
education_spending.csv,incomplete,ETH,Ethiopia
education_spending.csv,incomplete,FRA,France
education_spending.csv,incomplete,GAB,Gabon
education_spending.csv,incomplete,DEU,Germany
education_spending.csv,incomplete,GHA,Ghana
education_spending.csv,incomplete,GRC,Greece
education_spending.csv,incomplete,GIN,Guinea
education_spending.csv,incomplete,GNB,Guinea-Bissau
education_spending.csv,incomplete,IRL,Ireland
education_spending.csv,incomplete,KEN,Kenya
education_spending.csv,incomplete,LVA,Latvia
education_spending.csv,incomplete,LSO,Lesotho
education_spending.csv,incomplete,LBR,Liberia
education_spending.csv,incomplete,LIE,Liechtenstein
education_spending.csv,incomplete,LTU,Lithuania
education_spending.csv,incomplete,LUX,Luxembourg
education_spending.csv,incomplete,MWI,Malawi
education_spending.csv,incomplete,MLI,Mali
education_spending.csv,incomplete,MLT,Malta
education_spending.csv,incomplete,MRT,Mauritania
education_spending.csv,incomplete,MCO,Monaco
education_spending.csv,incomplete,MAR,Morocco
education_spending.csv,incomplete,MOZ,Mozambique
education_spending.csv,incomplete,NAM,Namibia
education_spending.csv,incomplete,NER,Niger
education_spending.csv,incomplete,NGA,Nigeria
education_spending.csv,incomplete,MKD,North Macedonia
education_spending.csv,incomplete,PRT,Portugal
education_spending.csv,incomplete,RWA,Rwanda
education_spending.csv,incomplete,SMR,San Marino
education_spending.csv,incomplete,STP,Sao Tome and Principe
education_spending.csv,incomplete,SEN,Senegal
education_spending.csv,incomplete,SRB,Serbia
education_spending.csv,incomplete,SYC,Seychelles
education_spending.csv,incomplete,SLE,Sierra Leone
education_spending.csv,incomplete,SVN,Slovenia
education_spending.csv,incomplete,SOM,Somalia
education_spending.csv,incomplete,SSD,South Sudan
education_spending.csv,incomplete,SDN,Sudan
education_spending.csv,incomplete,TZA,Tanzania
education_spending.csv,incomplete,TUN,Tunisia
education_spending.csv,incomplete,UGA,Uganda
education_spending.csv,incomplete,UKR,Ukraine
education_spending.csv,incomplete,GBR,United Kingdom
education_spending.csv,incomplete,ZMB,Zambia
education_spending.csv,incomplete,ZWE,Zimbabwe
income.csv,incomplete,ALB,Albania
income.csv,incomplete,DZA,Algeria
income.csv,incomplete,AND,Andorra
income.csv,incomplete,AGO,Angola
income.csv,incomplete,AUT,Austria
income.csv,incomplete,BLR,Belarus
income.csv,incomplete,BEL,Belgium
income.csv,incomplete,BEN,Benin
income.csv,incomplete,BIH,Bosnia and Herzegovina
income.csv,incomplete,BWA,Botswana
income.csv,incomplete,BGR,Bulgaria
income.csv,incomplete,BFA,Burkina Faso
income.csv,incomplete,BDI,Burundi
income.csv,incomplete,CMR,Cameroon
income.csv,incomplete,CPV,Cape Verde
income.csv,incomplete,CAF,Central African Republic
income.csv,incomplete,TCD,Chad
income.csv,incomplete,COM,Comoros
income.csv,incomplete,COG,Congo
income.csv,incomplete,CIV,Cote d'Ivoire
income.csv,incomplete,HRV,Croatia
income.csv,incomplete,CZE,Czechia
income.csv,incomplete,COD,DR Congo
income.csv,incomplete,DNK,Denmark
income.csv,incomplete,DJI,Djibouti
income.csv,incomplete,EGY,Egypt
income.csv,incomplete,GNQ,Equatorial Guinea
income.csv,incomplete,ERI,Eritrea
income.csv,incomplete,EST,Estonia
income.csv,incomplete,SWZ,Eswatini
income.csv,incomplete,ETH,Ethiopia
income.csv,incomplete,FRO,Faroe Islands
income.csv,incomplete,FIN,Finland
income.csv,incomplete,FRA,France
income.csv,incomplete,GAB,Gabon
income.csv,incomplete,GMB,Gambia
income.csv,incomplete,DEU,Germany
income.csv,incomplete,GHA,Ghana
income.csv,incomplete,GRC,Greece
income.csv,incomplete,GIN,Guinea
income.csv,incomplete,GNB,Guinea-Bissau
income.csv,incomplete,HUN,Hungary
income.csv,incomplete,ISL,Iceland
income.csv,incomplete,IRL,Ireland
income.csv,incomplete,IMN,Isle of Man
income.csv,incomplete,ITA,Italy
income.csv,incomplete,KEN,Kenya
income.csv,incomplete,LVA,Latvia
income.csv,incomplete,LSO,Lesotho
income.csv,incomplete,LBR,Liberia
income.csv,incomplete,LBY,Libyan Arab Jamahiriya
income.csv,incomplete,LIE,Liechtenstein
income.csv,incomplete,LTU,Lithuania
income.csv,incomplete,LUX,Luxembourg
income.csv,incomplete,MDG,Madagascar
income.csv,incomplete,MWI,Malawi
income.csv,incomplete,MLI,Mali
income.csv,incomplete,MLT,Malta
income.csv,incomplete,MRT,Mauritania
income.csv,incomplete,MUS,Mauritius
income.csv,incomplete,MDA,Moldova
income.csv,incomplete,MCO,Monaco
income.csv,incomplete,MNE,Montenegro
income.csv,incomplete,MAR,Morocco
income.csv,incomplete,MOZ,Mozambique
income.csv,incomplete,NAM,Namibia
income.csv,incomplete,NLD,Netherlands
income.csv,incomplete,NER,Niger
income.csv,incomplete,NGA,Nigeria
income.csv,incomplete,MKD,North Macedonia
income.csv,incomplete,NOR,Norway
income.csv,incomplete,POL,Poland
income.csv,incomplete,PRT,Portugal
income.csv,incomplete,ROU,Romania
income.csv,incomplete,RWA,Rwanda
income.csv,incomplete,SMR,San Marino
income.csv,incomplete,STP,Sao Tome and Principe
income.csv,incomplete,SEN,Senegal
income.csv,incomplete,SRB,Serbia
income.csv,incomplete,SYC,Seychelles
income.csv,incomplete,SLE,Sierra Leone
income.csv,incomplete,SVK,Slovakia
income.csv,incomplete,SVN,Slovenia
income.csv,incomplete,SOM,Somalia
income.csv,incomplete,ZAF,South Africa
income.csv,incomplete,SSD,South Sudan
income.csv,incomplete,ESP,Spain
income.csv,incomplete,SDN,Sudan
income.csv,incomplete,SWE,Sweden
income.csv,incomplete,CHE,Switzerland
income.csv,incomplete,TZA,Tanzania
income.csv,incomplete,TGO,Togo
income.csv,incomplete,TUN,Tunisia
income.csv,incomplete,UGA,Uganda
income.csv,incomplete,UKR,Ukraine
income.csv,incomplete,GBR,United Kingdom
income.csv,incomplete,ZMB,Zambia
income.csv,incomplete,ZWE,Zimbabwe
out_of_school_children.csv,incomplete,ALB,Albania
out_of_school_children.csv,incomplete,AND,Andorra
out_of_school_children.csv,incomplete,AGO,Angola
out_of_school_children.csv,incomplete,BLR,Belarus
out_of_school_children.csv,incomplete,BEN,Benin
out_of_school_children.csv,incomplete,BIH,Bosnia and Herzegovina
out_of_school_children.csv,incomplete,BWA,Botswana
out_of_school_children.csv,incomplete,BDI,Burundi
out_of_school_children.csv,incomplete,CMR,Cameroon
out_of_school_children.csv,incomplete,CPV,Cape Verde
out_of_school_children.csv,incomplete,CAF,Central African Republic
out_of_school_children.csv,incomplete,TCD,Chad
out_of_school_children.csv,incomplete,COM,Comoros
out_of_school_children.csv,incomplete,COG,Congo
out_of_school_children.csv,incomplete,CIV,Cote d'Ivoire
out_of_school_children.csv,incomplete,HRV,Croatia
out_of_school_children.csv,incomplete,CZE,Czechia
out_of_school_children.csv,incomplete,DNK,Denmark
out_of_school_children.csv,incomplete,EGY,Egypt
out_of_school_children.csv,incomplete,GNQ,Equatorial Guinea
out_of_school_children.csv,incomplete,ERI,Eritrea
out_of_school_children.csv,incomplete,EST,Estonia
out_of_school_children.csv,incomplete,SWZ,Eswatini
out_of_school_children.csv,incomplete,ETH,Ethiopia
out_of_school_children.csv,incomplete,GAB,Gabon
out_of_school_children.csv,incomplete,GMB,Gambia
out_of_school_children.csv,incomplete,GHA,Ghana
out_of_school_children.csv,incomplete,GRC,Greece
out_of_school_children.csv,incomplete,GIN,Guinea
out_of_school_children.csv,incomplete,GNB,Guinea-Bissau
out_of_school_children.csv,incomplete,KEN,Kenya
out_of_school_children.csv,incomplete,LVA,Latvia
out_of_school_children.csv,incomplete,LBR,Liberia
out_of_school_children.csv,incomplete,LIE,Liechtenstein
out_of_school_children.csv,incomplete,LTU,Lithuania
out_of_school_children.csv,incomplete,LUX,Luxembourg
out_of_school_children.csv,incomplete,MDG,Madagascar
out_of_school_children.csv,incomplete,MWI,Malawi
out_of_school_children.csv,incomplete,MLI,Mali
out_of_school_children.csv,incomplete,MLT,Malta
out_of_school_children.csv,incomplete,MRT,Mauritania
out_of_school_children.csv,incomplete,MUS,Mauritius
out_of_school_children.csv,incomplete,MDA,Moldova
out_of_school_children.csv,incomplete,MNE,Montenegro
