code,country,continent,year,value
ABW,Aruba,North America,2000,99.0
ABW,Aruba,North America,2010,99.0
AFG,Afghanistan,Asia,2011,47.0
AFG,Afghanistan,Asia,2015,35.82084
AFG,Afghanistan,Asia,2021,56.0
AFG,Afghanistan,Asia,2022,62.66
AGO,Angola,Africa,2001,72.0
AGO,Angola,Africa,2014,77.0
AGO,Angola,Africa,2015,75.66081
ALB,Albania,Europe,2001,99.0
ALB,Albania,Europe,2008,99.0
ALB,Albania,Europe,2009,95.68
ALB,Albania,Europe,2011,99.0
ALB,Albania,Europe,2012,99.0
ALB,Albania,Europe,2017,99.02406
ARE,United Arab Emirates,Asia,2005,95.0
ARE,United Arab Emirates,Asia,2019,98.0
ARE,United Arab Emirates,Asia,2021,100.0
ARE,United Arab Emirates,Asia,2022,100.0
ARG,Argentina,South America,2001,99.0
ARM,Armenia,Asia,2000,100.0
ARM,Armenia,Asia,2001,100.0
ARM,Armenia,Asia,2011,100.0
ARM,Armenia,Asia,2016,100.0
ARM,Armenia,Asia,2017,100.0
ARM,Armenia,Asia,2020,100.0
ARM,Armenia,Asia,2022,99.77402
AZE,Azerbaijan,Asia,1999,100.0
AZE,Azerbaijan,Asia,2006,100.0
AZE,Azerbaijan,Asia,2007,100.0
AZE,Azerbaijan,Asia,2009,100.0
AZE,Azerbaijan,Asia,2010,100.0
AZE,Azerbaijan,Asia,2011,100.0
AZE,Azerbaijan,Asia,2012,100.0
AZE,Azerbaijan,Asia,2013,100.0
AZE,Azerbaijan,Asia,2014,100.0
AZE,Azerbaijan,Asia,2015,100.0
AZE,Azerbaijan,Asia,2016,100.0
AZE,Azerbaijan,Asia,2017,100.0
AZE,Azerbaijan,Asia,2019,100.0
BDI,Burundi,Africa,2000,73.0
BDI,Burundi,Africa,2008,62.0
BDI,Burundi,Africa,2010,74.46
BDI,Burundi,Africa,2014,80.0
BDI,Burundi,Africa,2016,84.36368
BDI,Burundi,Africa,2017,88.0
BEN,Benin,Africa,2001,47.96
BEN,Benin,Africa,2002,45.0
BEN,Benin,Africa,2006,57.37
BEN,Benin,Africa,2017,58.8122
BEN,Benin,Africa,2019,69.24932
BEN,Benin,Africa,2021,65.3227
BEN,Benin,Africa,2022,71.25036
BFA,Burkina Faso,Africa,1996,19.0
BFA,Burkina Faso,Africa,2003,31.0
BFA,Burkina Faso,Africa,2005,33.0
BFA,Burkina Faso,Africa,2006,33.0
BFA,Burkina Faso,Africa,2007,39.0
BFA,Burkina Faso,Africa,2010,37.19
BFA,Burkina Faso,Africa,2014,50.0
BFA,Burkina Faso,Africa,2018,59.0
BFA,Burkina Faso,Africa,2019,47.0
BFA,Burkina Faso,Africa,2021,62.66986
BFA,Burkina Faso,Africa,2022,62.80518
BGD,Bangladesh,Asia,2000,100.0
BGD,Bangladesh,Asia,2001,64.0
BGD,Bangladesh,Asia,2007,87.61
BGD,Bangladesh,Asia,2011,78.0
BGD,Bangladesh,Asia,2012,78.0
BGD,Bangladesh,Asia,2013,86.0
BGD,Bangladesh,Asia,2014,86.0
BGD,Bangladesh,Asia,2015,88.0
BGD,Bangladesh,Asia,2016,92.0
BGD,Bangladesh,Asia,2017,93.0
BGD,Bangladesh,Asia,2018,93.0
BGD,Bangladesh,Asia,2019,95.0
BGD,Bangladesh,Asia,2020,94.0
BGD,Bangladesh,Asia,2021,95.0
BGD,Bangladesh,Asia,2022,93.0
BGR,Bulgaria,Europe,2001,98.0
BGR,Bulgaria,Europe,2011,98.0
BHR,Bahrain,Asia,2001,97.0
BHR,Bahrain,Asia,2022,99.0
BIH,Bosnia and Herzegovina,Europe,2000,100.0
BIH,Bosnia and Herzegovina,Europe,2013,100.0
BLR,Belarus,Europe,1999,100.0
BLR,Belarus,Europe,2009,100.0
BLR,Belarus,Europe,2012,100.0
BLR,Belarus,Europe,2019,100.0
BLZ,Belize,North America,2015,97.9493
BOL,Bolivia,South America,2000,97.3
BOL,Bolivia,South America,2001,97.4
BOL,Bolivia,South America,2002,98.1
BOL,Bolivia,South America,2003,98.3
BOL,Bolivia,South America,2004,99.1
BOL,Bolivia,South America,2005,98.8
BOL,Bolivia,South America,2006,98.4
BOL,Bolivia,South America,2007,99.4
BOL,Bolivia,South America,2008,99.2
BOL,Bolivia,South America,2009,99.4
BOL,Bolivia,South America,2011,99.0
BOL,Bolivia,South America,2012,99.3
BOL,Bolivia,South America,2013,99.3
BOL,Bolivia,South America,2014,99.4
BOL,Bolivia,South America,2015,99.4
BOL,Bolivia,South America,2016,99.4
BOL,Bolivia,South America,2017,99.4
BOL,Bolivia,South America,2018,99.6
BOL,Bolivia,South America,2019,99.5
BOL,Bolivia,South America,2020,99.6
BOL,Bolivia,South America,2021,99.5
BRA,Brazil,South America,2000,94.0
BRA,Brazil,South America,2001,95.8
BRA,Brazil,South America,2002,96.3
BRA,Brazil,South America,2003,96.6
BRA,Brazil,South America,2004,96.8
BRA,Brazil,South America,2005,97.1
BRA,Brazil,South America,2006,97.6
BRA,Brazil,South America,2007,97.8
BRA,Brazil,South America,2008,97.8
BRA,Brazil,South America,2009,98.1
BRA,Brazil,South America,2010,98.0
BRA,Brazil,South America,2011,98.5
BRA,Brazil,South America,2012,98.6
BRA,Brazil,South America,2013,98.7
BRA,Brazil,South America,2014,98.8
BRA,Brazil,South America,2015,99.0
BRA,Brazil,South America,2016,99.1
BRA,Brazil,South America,2017,99.1
BRA,Brazil,South America,2018,99.0
BRA,Brazil,South America,2019,99.1
BRA,Brazil,South America,2020,99.2
BRA,Brazil,South America,2021,99.3
BRA,Brazil,South America,2022,99.3
