Entity,Code,Year,Share of children engaged in economic activity (ages 5-17)
Afghanistan,AFG,2023,13.3
Algeria,DZA,2019,1.9
Angola,AGO,2016,9.7
Argentina,ARG,2017,1.8
Armenia,ARM,2015,3.9
Azerbaijan,AZE,2023,4.8
Bangladesh,BGD,2022,7
Belarus,BLR,2019,4
Belize,BLZ,2013,2.2
Benin,BEN,2022,16
Brazil,BRA,2022,1.5
Burkina Faso,BFA,2022,18.4
Burundi,BDI,2020,53.5
Cambodia,KHM,2021,10.4
Cameroon,CMR,2014,33.4
Central African Republic,CAF,2019,18.4
Central and Southern Asia (UN SDG),UNSDG_CSA,2024,3.38
Chad,TCD,2019,30.9
Chile,CHL,2023,4.1
Colombia,COL,2022,1.3
Comoros,COM,2022,5.8
Congo,COG,2015,10.8
Costa Rica,CRI,2018,3.4
Cote d'Ivoire,CIV,2022,12.8
Democratic Republic of Congo,COD,2020,14.7
Dominican Republic,DOM,2019,3.1
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2024,3.07
Ecuador,ECU,2022,3.4
Egypt,EGY,2023,8.5
El Salvador,SLV,2023,2.9
Eswatini,SWZ,2022,11.3
Ethiopia,ETH,2021,18.7
Europe and Northern America (UN SDG),UNSDG_ENA,2024,0.79
Fiji,FJI,2021,15.6
Gabon,GAB,2021,5.4
Gambia,GMB,2023,15.1
Georgia,GEO,2015,1.5
Ghana,GHA,2022,5.5
Guinea,GIN,2016,19.5
Guinea-Bissau,GNB,2022,30.4
Guyana,GUY,2020,4.9
Honduras,HND,2023,12.9
India,IND,2023,1
Indonesia,IDN,2021,1.7
Iraq,IRQ,2018,3.1
Jamaica,JAM,2022,2.6
Jordan,JOR,2016,1.2
Kenya,KEN,2021,4.3
Kiribati,KIR,2019,7.1
Kosovo,OWID_KOS,2020,3.8
Kyrgyzstan,KGZ,2023,18
Laos,LAO,2023,21.8
Latin America and the Caribbean (UN SDG),UNSDG_LAC,2024,5.52
Latin America and the Caribbean (UN),UN_LAC,2024,5.52
Lesotho,LSO,2018,8.2
Liberia,LBR,2020,21.1
Madagascar,MDG,2022,24.7
Malawi,MWI,2020,24.1
Mali,MLI,2020,21
Mauritania,MRT,2019,3.1
Mexico,MEX,2022,4.3
Mongolia,MNG,2023,6
Montenegro,MNE,2018,7.7
Mozambique,MOZ,2022,10.9
Myanmar,MMR,2015,8.1
Nauru,NRU,2023,0.7
Nepal,NPL,2014,19.2
Niger,NER,2022,42.4
Nigeria,NGA,2022,28.1
North Korea,PRK,2017,4
North Macedonia,MKD,2019,2.4
Northern Africa and Western Asia (UN SDG),UNSDG_NAWA,2024,8.32
Oceania (UN),UN_OCE,2024,6.74
Palestine,PSE,2020,6.3
Peru,PER,2021,16.2
Philippines,PHL,2022,1.2
Samoa,WSM,2022,6.9
Sao Tome and Principe,STP,2019,6.7
Senegal,SEN,2022,8.6
Serbia,SRB,2019,9.1
Sierra Leone,SLE,2017,21
Sri Lanka,LKA,2016,0.8
Sub-Saharan Africa (UN SDG),UNSDG_SSA,2024,21.46
Sudan,SDN,2022,15
Suriname,SUR,2018,3.4
Tanzania,TZA,2021,15
Togo,TGO,2022,25.7
Tonga,TON,2019,25.9
Trinidad and Tobago,TTO,2022,4.2
Tunisia,TUN,2023,1.7
Turkey,TUR,2022,5.6
Turkmenistan,TKM,2016,0.3
Turks and Caicos Islands,TCA,2020,4.1
Tuvalu,TUV,2020,3.7
Uganda,UGA,2021,40.1
Uruguay,URY,2010,3.7
Uzbekistan,UZB,2022,17.8
Vanuatu,VUT,2023,26.7
Vietnam,VNM,2021,5.7
World,OWID_WRL,2024,7.8
Yemen,YEM,2023,7.7
Zambia,ZMB,2022,5.7
Zimbabwe,ZWE,2019,25.6
