Entity,Code,Year,Women who were first married by age 18 (% of women ages 20-24),World region according to OWID
Afghanistan,AFG,2015,34.8,Asia
Afghanistan,AFG,2023,28.7,Asia
Albania,ALB,2009,9.6,Europe
Albania,ALB,2018,11.8,Europe
Algeria,DZA,2019,3.8,Africa
Angola,AGO,2016,30.3,Africa
Argentina,ARG,2020,15.5,South America
Armenia,ARM,2000,19.1,Asia
Armenia,ARM,2005,9.9,Asia
Armenia,ARM,2010,7.2,Asia
Armenia,ARM,2016,5.3,Asia
Azerbaijan,AZE,2006,12.2,Asia
Azerbaijan,AZE,2011,11,Asia
Bangladesh,BGD,1994,73.3,Asia
Bangladesh,BGD,1997,68.5,Asia
Bangladesh,BGD,2000,65.3,Asia
Bangladesh,BGD,2004,68.7,Asia
Bangladesh,BGD,2007,66.2,Asia
Bangladesh,BGD,2011,64.9,Asia
Bangladesh,BGD,2014,58.6,Asia
Bangladesh,BGD,2018,58.9,Asia
Bangladesh,BGD,2019,51.4,Asia
Barbados,BRB,2012,29.2,North America
Belarus,BLR,2019,4.7,Europe
Belgium,BEL,2020,0.1,Europe
Belize,BLZ,2016,33.5,North America
Benin,BEN,1996,38.8,Africa
Benin,BEN,2001,36.7,Africa
Benin,BEN,2006,34.4,Africa
Benin,BEN,2012,31.9,Africa
Benin,BEN,2018,30.6,Africa
Benin,BEN,2022,27.5,Africa
Bhutan,BTN,2010,25.8,Asia
Bolivia,BOL,1989,23.7,South America
Bolivia,BOL,1994,24.9,South America
Bolivia,BOL,1998,21.2,South America
Bolivia,BOL,2003,25.8,South America
Bolivia,BOL,2008,21.7,South America
Bolivia,BOL,2016,19.7,South America
Bosnia and Herzegovina,BIH,2012,3.5,Europe
Botswana,BWA,1988,10,Africa
Brazil,BRA,1986,21.8,South America
Brazil,BRA,1996,23.7,South America
Brazil,BRA,2006,26.2,South America
Burkina Faso,BFA,1993,61.7,Africa
Burkina Faso,BFA,1999,62.3,Africa
Burkina Faso,BFA,2003,51.9,Africa
Burkina Faso,BFA,2010,51.6,Africa
Burkina Faso,BFA,2015,51.3,Africa
Burkina Faso,BFA,2021,38.2,Africa
Burundi,BDI,1987,17.3,Africa
Burundi,BDI,2010,20.4,Africa
Burundi,BDI,2017,19,Africa
Cambodia,KHM,2000,24.8,Asia
Cambodia,KHM,2005,23.3,Asia
Cambodia,KHM,2010,18.4,Asia
Cambodia,KHM,2014,18.5,Asia
Cambodia,KHM,2022,17.9,Asia
Cameroon,CMR,1991,57.7,Africa
Cameroon,CMR,1998,43.4,Africa
Cameroon,CMR,2004,47.2,Africa
Cameroon,CMR,2011,38.4,Africa
Cameroon,CMR,2018,29.8,Africa
Cape Verde,CPV,2018,8.4,Africa
Central African Republic,CAF,1995,57,Africa
Central African Republic,CAF,2019,61,Africa
Chad,TCD,1997,71.4,Africa
Chad,TCD,2004,72,Africa
Chad,TCD,2015,66.9,Africa
Chad,TCD,2019,60.6,Africa
China,CHN,2020,2.8,Asia
Colombia,COL,1986,23.3,South America
Colombia,COL,1990,22,South America
Colombia,COL,1995,25.6,South America
Colombia,COL,2000,21.4,South America
Colombia,COL,2005,23.1,South America
Colombia,COL,2010,23,South America
Colombia,COL,2015,23.4,South America
Comoros,COM,1996,29.7,Africa
Comoros,COM,2012,31.6,Africa
Comoros,COM,2022,20.7,Africa
Congo,COG,2005,30.8,Africa
Congo,COG,2009,33.3,Africa
Congo,COG,2012,32.6,Africa
Congo,COG,2015,27.3,Africa
Costa Rica,CRI,2018,17.1,North America
Cote d'Ivoire,CIV,1994,43.5,Africa
Cote d'Ivoire,CIV,1999,33.2,Africa
Cote d'Ivoire,CIV,2005,34.5,Africa
Cote d'Ivoire,CIV,2012,33.2,Africa
Cote d'Ivoire,CIV,2021,25.8,Africa
Cuba,CUB,2019,29.4,North America
Democratic Republic of Congo,COD,2007,39.1,Africa
Democratic Republic of Congo,COD,2014,37.3,Africa
Democratic Republic of Congo,COD,2018,29.1,Africa
Denmark,DNK,2021,0.7,Europe
Djibouti,DJI,2019,6.5,Africa
Dominican Republic,DOM,1986,34.4,North America
Dominican Republic,DOM,1991,30.2,North America
Dominican Republic,DOM,1996,37.6,North America
Dominican Republic,DOM,1999,31,North America
Dominican Republic,DOM,2002,41.2,North America
Dominican Republic,DOM,2007,39.6,North America
Dominican Republic,DOM,2013,36.5,North America
Dominican Republic,DOM,2019,31.5,North America
East Timor,TLS,2010,18.9,Asia
East Timor,TLS,2016,14.9,Asia
Ecuador,ECU,1987,26,South America
Ecuador,ECU,2018,22.2,South America
Egypt,EGY,1988,30.5,Africa
Egypt,EGY,1992,26.7,Africa
Egypt,EGY,1995,26.8,Africa
Egypt,EGY,2000,19.5,Africa
Egypt,EGY,2003,18.5,Africa
Egypt,EGY,2005,16.6,Africa
Egypt,EGY,2008,16.6,Africa
Egypt,EGY,2014,17.4,Africa
Egypt,EGY,2021,15.8,Africa
El Salvador,SLV,1985,37.7,North America
El Salvador,SLV,2021,19.7,North America
Equatorial Guinea,GNQ,2011,29.5,Africa
Eritrea,ERI,1995,54.2,Africa
Eritrea,ERI,2002,47,Africa
Eritrea,ERI,2010,40.7,Africa
Eswatini,SWZ,2007,7.7,Africa
Eswatini,SWZ,2022,1.9,Africa
Ethiopia,ETH,2000,49.1,Africa
Ethiopia,ETH,2005,49.2,Africa
Ethiopia,ETH,2011,41.2,Africa
Ethiopia,ETH,2016,40.3,Africa
Fiji,FJI,2021,4,Oceania
Finland,FIN,2017,0.1,Europe
Gabon,GAB,2000,33.6,Africa
Gabon,GAB,2012,21.9,Africa
Gabon,GAB,2021,13.3,Africa
Gambia,GMB,2013,30.4,Africa
Gambia,GMB,2020,23.1,Africa
Georgia,GEO,2018,13.9,Asia
Ghana,GHA,1988,40.9,Africa
Ghana,GHA,1993,37.6,Africa
Ghana,GHA,1998,35.5,Africa
Ghana,GHA,2003,27.9,Africa
Ghana,GHA,2008,24.6,Africa
Ghana,GHA,2014,20.7,Africa
Ghana,GHA,2022,16.1,Africa
Guatemala,GTM,1987,41.2,North America
Guatemala,GTM,1995,38.6,North America
Guatemala,GTM,1999,34.3,North America
Guatemala,GTM,2015,29.5,North America
Guinea,GIN,1999,64.5,Africa
Guinea,GIN,2005,63.1,Africa
Guinea,GIN,2012,51.7,Africa
Guinea,GIN,2018,46.5,Africa
Guinea-Bissau,GNB,2019,25.7,Africa
Guyana,GUY,2005,28.2,South America
Guyana,GUY,2009,23,South America
Guyana,GUY,2020,32.3,South America
Haiti,HTI,1995,23.8,North America
Haiti,HTI,2000,24.1,North America
Haiti,HTI,2006,29.9,North America
Haiti,HTI,2012,17.5,North America
Haiti,HTI,2017,14.9,North America
Honduras,HND,2006,38.8,North America
Honduras,HND,2012,33.6,North America
Honduras,HND,2019,34,North America
India,IND,1993,50.2,Asia
India,IND,1999,50,Asia
India,IND,2006,44.5,Asia
India,IND,2016,25.3,Asia
India,IND,2021,22.3,Asia
Indonesia,IDN,1987,35.1,Asia
Indonesia,IDN,1991,34.1,Asia
Indonesia,IDN,1994,30.8,Asia
Indonesia,IDN,1997,29.6,Asia
Indonesia,IDN,2003,24.2,Asia
Indonesia,IDN,2007,22,Asia
Indonesia,IDN,2012,17,Asia
Indonesia,IDN,2017,16.3,Asia
Iran,IRN,2010,16.7,Asia
Iraq,IRQ,2018,27.9,Asia
Jamaica,JAM,2011,7.9,North America
Jordan,JOR,1990,16.4,Asia
Jordan,JOR,1997,13.5,Asia
Jordan,JOR,2002,11.1,Asia
Jordan,JOR,2007,9.6,Asia
Jordan,JOR,2009,10.2,Asia
Jordan,JOR,2012,8.4,Asia
Jordan,JOR,2018,9.7,Asia
Kazakhstan,KAZ,1995,18.5,Asia
Kazakhstan,KAZ,1999,14.4,Asia
Kazakhstan,KAZ,2015,7,Asia
Kenya,KEN,1989,31,Africa
Kenya,KEN,1993,28.1,Africa
Kenya,KEN,1998,24.6,Africa
Kenya,KEN,2003,24.6,Africa
Kenya,KEN,2009,26.4,Africa
Kenya,KEN,2014,22.9,Africa
Kenya,KEN,2022,12.5,Africa
Kiribati,KIR,2019,18.4,Oceania
Kyrgyzstan,KGZ,1997,21.2,Asia
Kyrgyzstan,KGZ,2012,7.8,Asia
Kyrgyzstan,KGZ,2018,12.9,Asia
Laos,LAO,2017,32.7,Asia
Lebanon,LBN,2016,6,Asia
Lesotho,LSO,2004,23,Africa
Lesotho,LSO,2009,18.8,Africa
Lesotho,LSO,2014,17.3,Africa
Lesotho,LSO,2018,16.4,Africa
Liberia,LBR,1986,48.4,Africa
Liberia,LBR,2007,37.9,Africa
Liberia,LBR,2013,35.9,Africa
Liberia,LBR,2020,24.9,Africa
Lithuania,LTU,2022,0.2,Europe
Madagascar,MDG,1992,36.9,Africa
Madagascar,MDG,1997,40.4,Africa
Madagascar,MDG,2004,38.8,Africa
Madagascar,MDG,2009,48.2,Africa
Madagascar,MDG,2021,38.8,Africa
Malawi,MWI,1992,54.9,Africa
Malawi,MWI,2000,46.9,Africa
Malawi,MWI,2004,48.9,Africa
Malawi,MWI,2010,49.6,Africa
Malawi,MWI,2016,42.1,Africa
Malawi,MWI,2020,37.7,Africa
Maldives,MDV,2009,3.9,Asia
Maldives,MDV,2017,2.2,Asia
Mali,MLI,1987,78.1,Africa
Mali,MLI,1996,69.9,Africa
Mali,MLI,2001,65.4,Africa
Mali,MLI,2006,70.6,Africa
Mali,MLI,2013,59.6,Africa
Mali,MLI,2018,53.7,Africa
Marshall Islands,MHL,2007,26.3,Oceania
Mauritania,MRT,2001,37.2,Africa
Mauritania,MRT,2021,36.6,Africa
Mexico,MEX,1987,27.6,North America
Mexico,MEX,2018,20.7,North America
Moldova,MDA,2005,18.9,Europe
Moldova,MDA,2012,12.2,Europe
Mongolia,MNG,2018,12,Asia
Montenegro,MNE,2018,5.8,Europe
Morocco,MAR,1987,24,Africa
Morocco,MAR,1992,18.4,Africa
Morocco,MAR,2004,15.9,Africa
Morocco,MAR,2018,13.7,Africa
Mozambique,MOZ,1997,56.6,Africa
Mozambique,MOZ,2003,55.9,Africa
Mozambique,MOZ,2009,56.2,Africa
Mozambique,MOZ,2011,48.2,Africa
Mozambique,MOZ,2015,52.9,Africa
Mozambique,MOZ,2023,48.4,Africa
Myanmar,MMR,2016,16,Asia
Namibia,NAM,1992,11.4,Africa
Namibia,NAM,2000,9.8,Africa
Namibia,NAM,2007,8.5,Africa
Namibia,NAM,2013,6.9,Africa
Nauru,NRU,2007,26.8,Oceania
Nepal,NPL,1996,60.3,Asia
Nepal,NPL,2001,56.1,Asia
Nepal,NPL,2006,51.4,Asia
Nepal,NPL,2011,40.7,Asia
Nepal,NPL,2016,39.5,Asia
Nepal,NPL,2022,34.9,Asia
Nicaragua,NIC,1998,50.3,North America
Nicaragua,NIC,2001,43.3,North America
Nicaragua,NIC,2012,35.2,North America
Niger,NER,1992,83.5,Africa
Niger,NER,1998,76.6,Africa
Niger,NER,2006,74.5,Africa
Niger,NER,2012,76.3,Africa
Nigeria,NGA,1990,51.9,Africa
