Entity,Code,Year,Literacy rate among young people
Afghanistan,AFG,1979,30
Afghanistan,AFG,2011,47
Afghanistan,AFG,2015,35.82084
Afghanistan,AFG,2021,56
Afghanistan,AFG,2022,62.66
Albania,ALB,2001,99
Albania,ALB,2008,99
Albania,ALB,2009,95.68
Albania,ALB,2011,99
Albania,ALB,2012,99
Albania,ALB,2017,99.02406
Algeria,DZA,1987,74
Algeria,DZA,2002,90
Algeria,DZA,2006,92
Algeria,DZA,2008,94
Algeria,DZA,2019,74.03
American Samoa,ASM,1980,98
Angola,AGO,2001,72
Angola,AGO,2014,77
Angola,AGO,2015,75.66081
Anguilla,AIA,1984,99
Argentina,ARG,1980,97
Argentina,ARG,1991,98
Argentina,ARG,2001,99
Armenia,ARM,1989,100
Armenia,ARM,2000,100
Armenia,ARM,2001,100
Armenia,ARM,2011,100
Armenia,ARM,2016,100
Armenia,ARM,2017,100
Armenia,ARM,2020,100
Armenia,ARM,2022,99.77402
Aruba,ABW,2000,99
Aruba,ABW,2010,99
Azerbaijan,AZE,1999,100
Azerbaijan,AZE,2006,100
Azerbaijan,AZE,2007,100
Azerbaijan,AZE,2009,100
Azerbaijan,AZE,2010,100
Azerbaijan,AZE,2011,100
Azerbaijan,AZE,2012,100
Azerbaijan,AZE,2013,100
Azerbaijan,AZE,2014,100
Azerbaijan,AZE,2015,100
Azerbaijan,AZE,2016,100
Azerbaijan,AZE,2017,100
Azerbaijan,AZE,2019,100
Azerbaijan,AZE,2023,100
Bahrain,BHR,1981,86
Bahrain,BHR,1991,97
Bahrain,BHR,2001,97
Bahrain,BHR,2022,99
Bahrain,BHR,2023,99
Bangladesh,BGD,1981,36
Bangladesh,BGD,1991,45
Bangladesh,BGD,2000,100
Bangladesh,BGD,2001,64
Bangladesh,BGD,2007,87.61
Bangladesh,BGD,2011,78
Bangladesh,BGD,2012,78
Bangladesh,BGD,2013,86
Bangladesh,BGD,2014,86
Bangladesh,BGD,2015,88
Bangladesh,BGD,2016,92
Bangladesh,BGD,2017,93
Bangladesh,BGD,2018,93
Bangladesh,BGD,2019,95
Bangladesh,BGD,2020,94
Bangladesh,BGD,2021,95
Bangladesh,BGD,2022,93
Barbados,BRB,1970,100
Barbados,BRB,2012,100
Belarus,BLR,1989,100
Belarus,BLR,1999,100
Belarus,BLR,2009,100
Belarus,BLR,2012,100
Belarus,BLR,2019,100
Belize,BLZ,1991,78
Belize,BLZ,2015,97.9493
Benin,BEN,1979,30
Benin,BEN,1992,40
Benin,BEN,2001,47.96
Benin,BEN,2002,45
Benin,BEN,2006,57.37
Benin,BEN,2017,58.8122
Benin,BEN,2019,69.24932
Benin,BEN,2021,65.3227
Benin,BEN,2022,71.25036
Bhutan,BTN,2005,74
Bhutan,BTN,2012,86
Bhutan,BTN,2017,93
Bolivia,BOL,1976,84
Bolivia,BOL,1992,94
Bolivia,BOL,2000,97.3
Bolivia,BOL,2001,97.4
Bolivia,BOL,2002,98.1
Bolivia,BOL,2003,98.3
Bolivia,BOL,2004,99.1
Bolivia,BOL,2005,98.8
Bolivia,BOL,2006,98.4
