Entity,Code,Year,Multidimensional Poverty Index (MPI),World region according to OWID
Afghanistan,AFG,2022,0.3603053,Asia
Albania,ALB,2017,0.0027478787,Europe
Algeria,DZA,2018,0.005409093,Africa
Angola,AGO,2015,0.28243506,Africa
Argentina,ARG,2019,0.0014692951,South America
Armenia,ARM,2015,0.000690069,Asia
Azerbaijan,AZE,2023,0.000661152,Asia
Bangladesh,BGD,2022,0.066509075,Asia
Belize,BLZ,2015,0.017108832,North America
Benin,BEN,2021,0.2895098,Africa
Bhutan,BTN,2022,0.0386035,Asia
Bolivia,BOL,2023,0.023168242,South America
Botswana,BWA,2015,0.0726387,Africa
Brazil,BRA,2015,0.016346041,South America
Burkina Faso,BFA,2021,0.34289196,Africa
Burundi,BDI,2016,0.4088611,Africa
Cambodia,KHM,2021,0.07036792,Asia
Cameroon,CMR,2018,0.23206012,Africa
Central African Republic,CAF,2018,0.46134752,Africa
Chad,TCD,2019,0.5170112,Africa
China,CHN,2014,0.016066726,Asia
Colombia,COL,2015,0.019657273,South America
Comoros,COM,2022,0.08429893,Africa
Congo,COG,2014,0.11167629,Africa
Costa Rica,CRI,2018,0.002006301,North America
Cote d'Ivoire,CIV,2021,0.2102151,Africa
Cuba,CUB,2019,0.002688705,North America
Democratic Republic of Congo,COD,2017,0.33118874,Africa
Dominican Republic,DOM,2019,0.008786188,North America
East Timor,TLS,2016,0.22151424,Asia
Ecuador,ECU,2018,0.00793744,South America
Egypt,EGY,2014,0.019681796,Africa
El Salvador,SLV,2014,0.03246251,North America
Eswatini,SWZ,2021,0.032648794,Africa
Ethiopia,ETH,2019,0.36660424,Africa
Fiji,FJI,2021,0.0057576634,Oceania
Gabon,GAB,2019,0.03665673,Africa
Gambia,GMB,2019,0.19802307,Africa
Georgia,GEO,2018,0.0012446003,Asia
Ghana,GHA,2022,0.112784564,Africa
Guatemala,GTM,2014,0.13351782,North America
Guinea,GIN,2018,0.37322164,Africa
Guinea-Bissau,GNB,2018,0.34068874,Africa
Guyana,GUY,2019,0.0071647093,South America
Haiti,HTI,2016,0.19958769,North America
Honduras,HND,2019,0.05115417,North America
India,IND,2019,0.06881057,Asia
Indonesia,IDN,2017,0.014010749,Asia
Iraq,IRQ,2018,0.03269432,Asia
Jamaica,JAM,2018,0.010810291,North America
Jordan,JOR,2023,0.0027735643,Asia
Kazakhstan,KAZ,2015,0.0016106326,Asia
Kenya,KEN,2022,0.11335198,Africa
Kiribati,KIR,2018,0.08015741,Oceania
Kyrgyzstan,KGZ,2023,0.0034202132,Asia
Laos,LAO,2023,0.082487345,Asia
Lesotho,LSO,2023,0.10604715,Africa
Liberia,LBR,2019,0.25929374,Africa
Libya,LBY,2014,0.0074214647,Africa
Madagascar,MDG,2021,0.3859274,Africa
Malawi,MWI,2019,0.23109521,Africa
Maldives,MDV,2016,0.0026540936,Asia
Mali,MLI,2018,0.37606293,Africa
Mauritania,MRT,2019,0.32703725,Africa
Mexico,MEX,2023,0.019894723,North America
Mongolia,MNG,2018,0.02812682,Asia
Montenegro,MNE,2018,0.0048989006,Europe
Morocco,MAR,2017,0.026696723,Africa
Mozambique,MOZ,2022,0.33437392,Africa
Myanmar,MMR,2015,0.17584622,Asia
Namibia,NAM,2013,0.18473454,Africa
Nauru,NRU,2023,0.02708145,Oceania
Nepal,NPL,2022,0.08520436,Asia
Niger,NER,2021,0.4703161,Africa
Nigeria,NGA,2021,0.17481731,Africa
North Macedonia,MKD,2018,0.0014220629,Europe
Pakistan,PAK,2017,0.19824739,Asia
Palestine,PSE,2019,0.0019800924,Asia
Papua New Guinea,PNG,2016,0.2632909,Oceania
Paraguay,PRY,2016,0.018848581,South America
Peru,PER,2023,0.021902395,South America
Philippines,PHL,2022,0.015788116,Asia
Rwanda,RWA,2019,0.23100196,Africa
Samoa,WSM,2019,0.024600489,Oceania
Sao Tome and Principe,STP,2019,0.047923375,Africa
Senegal,SEN,2023,0.22621569,Africa
Serbia,SRB,2019,0.00043311415,Europe
Seychelles,SYC,2019,0.002963461,Africa
Sierra Leone,SLE,2019,0.2928993,Africa
South Africa,ZAF,2016,0.024890643,Africa
Sri Lanka,LKA,2016,0.011184699,Asia
Sudan,SDN,2014,0.2794396,Africa
Suriname,SUR,2018,0.011232468,South America
Tajikistan,TJK,2017,0.029005922,Asia
Tanzania,TZA,2022,0.22133659,Africa
Thailand,THA,2022,0.0018171865,Asia
Togo,TGO,2017,0.17961626,Africa
Tonga,TON,2019,0.0033361549,Oceania
Trinidad and Tobago,TTO,2022,0.002072984,North America
Tunisia,TUN,2023,0.0034418495,Africa
Turkmenistan,TKM,2019,0.00084917736,Asia
Tuvalu,TUV,2019,0.008084608,Oceania
Uganda,UGA,2016,0.28102848,Africa
Uzbekistan,UZB,2021,0.0061037554,Asia
Vanuatu,VUT,2023,0.116763316,Oceania
Vietnam,VNM,2020,0.007729395,Asia
Yemen,YEM,2022,0.18783963,Asia
Zambia,ZMB,2018,0.23168507,Africa
Zimbabwe,ZWE,2019,0.10994179,Africa
